Name	sample	TCGA-FA-8693-01	TCGA-FA-A4BB-01	TCGA-FA-A4XK-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-FA-A7DS-01	TCGA-FA-A7Q1-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-FF-A7CQ-01	TCGA-FF-A7CR-01	TCGA-FF-A7CW-01	TCGA-FF-A7CX-01	TCGA-G8-6324-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6907-01	TCGA-G8-6909-01	TCGA-G8-6914-01	TCGA-GR-7351-01	TCGA-GR-7353-01	TCGA-GR-A4D4-01	TCGA-GR-A4D5-01	TCGA-GR-A4D6-01	TCGA-GR-A4D9-01	TCGA-GS-A9TQ-01	TCGA-GS-A9TT-01	TCGA-GS-A9TU-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TY-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U3-01	TCGA-GS-A9U4-01	TCGA-RQ-A68N-01	TCGA-RQ-A6JB-01	TCGA-RQ-AAAT-01	TCGA-VB-A8QN-01
BIRC7-201	ENST00000217169.7	0.4761	0.688	-1.7809	1.4335	-0.2159	-1.2481	-0.2159	0.099	2.409	1.8683	1.177	1.1184	-3.6259	-0.0425	1.4281	0.6608	-9.9658	1.3511	-0.0574	-1.2481	-9.9658	3.2826	1.4547	0.9191	0.4552	1.2516	2.5388	2.3451	0.03	-1.0862	1.2333	-0.2845	-0.5543	-0.6416	0.044	1.8524	1.6604	-0.3752	-0.8084	-0.9971	1.6649	2.5011	-9.9658	-0.2328	1.0503	-1.7809	0.547
BIRC7-202	ENST00000342412.10	0.5763	0.7058	-1.5951	0.5859	-0.1187	-2.8262	-1.2481	-9.9658	1.0779	0.6517	1.334	0.9191	-1.8314	-9.9658	1.177	0.2642	-1.9379	0.8961	-1.1811	-3.6259	-2.8262	3.3773	2.5036	0.7146	1.6093	1.2934	1.4962	1.6187	-9.9658	-0.1187	0.346	-2.1779	-1.0262	0.1388	-0.394	0.547	0.4657	-9.9658	-2.3147	0.5568	0.8246	1.2333	-1.7322	0.0854	-0.4131	-1.2142	-0.7834
BIRC7-203	ENST00000395306.1	-9.9658	-1.0862	-9.9658	-1.1172	-4.035	-9.9658	-9.9658	-9.9658	-0.5973	-2.4659	-9.9658	-9.9658	-2.2447	-9.9658	-3.3076	-9.9658	-9.9658	-1.8314	-9.9658	-3.6259	-9.9658	-0.9406	-2.4659	-9.9658	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-1.7322	-1.9942	-9.9658	-3.1714	-2.7274	-3.1714	-2.6349	-2.6349	-3.6259	-1.7322	-2.0529	-3.458	-9.9658	-9.9658	-1.7809	-9.9658	-9.9658
CCL2-201	ENST00000225831.4	4.836	5.6682	4.8992	5.9535	5.8445	8.4282	4.9668	6.7722	5.2009	5.7706	3.5387	5.691	5.1056	4.8555	5.446	5.0713	6.4874	7.2106	4.7044	4.5497	3.1011	6.0738	5.6488	4.9681	4.7192	4.1531	6.4057	3.944	5.8309	6.6548	5.4896	5.6713	6.7646	3.7667	4.3263	6.2386	7.1796	6.7604	4.951	5.1831	5.3622	6.6263	8.7098	7.6192	6.5376	5.9006	5.225
CCL2-202	ENST00000580907.5	-4.6082	-2.7274	0.3231	1.9931	1.6327	1.3901	0.1124	-0.7108	-0.6873	-2.5479	-9.9658	-1.5105	-0.8863	-9.9658	-9.9658	-9.9658	1.8444	1.2209	-9.9658	-6.5064	-3.6259	-0.5543	-9.9658	-9.9658	-1.4699	-1.7322	-1.3183	-9.9658	-2.8262	1.2333	-0.4921	-2.4659	1.7229	-1.4305	-2.4659	1.3623	2.1988	0.8164	0.099	-9.9658	-0.0425	1.0642	2.1378	0.3907	-0.7588	-9.9658	-0.5332
CCL2-203	ENST00000624362.1	-4.2934	-2.5479	-2.2447	1.0007	0.7832	-0.2498	-1.0862	-3.1714	-0.4921	-4.2934	-5.0116	-4.2934	-9.9658	-4.2934	-5.0116	-4.2934	1.3956	0.6332	-1.7809	-3.3076	-9.9658	-2.4659	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-4.2934	-3.6259	0.517	-1.5105	-3.1714	1.4174	-3.816	-9.9658	0.1124	1.7141	-1.0862	-1.1172	-9.9658	-2.1779	0.058	0.03	-0.5543	-1.0862	-9.9658	-4.2934
CCL22-201	ENST00000219235.4	-0.0877	3.4034	6.8533	6.12	-0.1031	-0.1187	1.7185	2.5437	6.6748	4.018	-5.0116	4.4523	0.8647	5.1954	2.2206	4.026	-0.4921	1.0779	6.0361	4.6537	3.2781	7.1308	3.2049	-0.5332	-2.1779	5.8448	4.5742	3.1939	1.0007	-0.6643	0.5763	3.0038	0.7748	-1.4699	4.8807	6.3583	4.706	7.9508	4.6095	-2.1779	7.6748	4.2142	7.6617	1.0079	2.9205	2.7314	5.1543
CD274-201	ENST00000381573.8	-0.4921	1.6187	-1.8314	0.7493	0.4552	-2.5479	-0.8599	0.24	0.8726	1.884	0.8647	-0.9686	-0.5973	-1.0862	-1.4305	0.5859	-2.114	1.3397	0.2881	-0.2159	-1.1172	2.1957	3.011	0.0718	-2.2447	-3.458	0.5763	-1.7809	-3.6259	0.7146	0.5069	-0.7108	-9.9658	-9.9658	-9.9658	-1.7809	-1.7809	-0.4521	-9.9658	0.099	-1.0862	-0.5756	0.7321	1.9895	-0.8863	-2.0529	-0.0877
CD274-202	ENST00000381577.3	1.5465	0.7233	5.6996	2.3337	2.183	5.2188	-1.7809	-1.2481	1.614	1.7744	-0.1665	-1.1488	0.1388	-3.1714	-2.114	0.1648	5.383	4.2586	0.3573	0.1124	-9.9658	1.5806	1.884	0.9343	-9.9658	3.871	1.1184	0.6517	-1.8836	2.3251	2.676	-2.0529	3.1556	0.9268	2.5363	3.3952	4.7049	4.7038	1.7053	-3.458	4.6877	3.5621	5.5227	1.2147	1.4756	-3.816	0.5666
CD274-203	ENST00000474218.1	-0.8599	0.1124	7.5645	-3.3076	-9.9658	2.8442	-3.1714	-3.0469	-1.3921	0.044	-0.3566	-0.7588	-6.5064	-9.9658	-9.9658	-0.3752	5.3086	-0.8084	-2.5479	-1.8836	-9.9658	0.5763	1.177	0.1124	-3.3076	4.3506	-0.1187	-1.9379	-2.3147	-0.9686	-0.8863	-3.6259	-0.5332	-2.3884	-1.2828	-0.6193	1.6281	2.004	-1.3548	-2.114	-0.8084	-0.3022	2.8341	-1.9942	-0.6873	-1.2481	-3.3076
