transcript_id	gene_id	TCGA-3X-AAVB-01	TCGA-W5-AA2W-01	TCGA-WD-A7RX-01	TCGA-W5-AA2H-01	TCGA-W5-AA2U-01	TCGA-W5-AA2T-01	TCGA-W5-AA2O-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA2I-01	TCGA-ZU-A8S4-11	TCGA-3X-AAVE-01	TCGA-ZH-A8Y6-01	TCGA-W5-AA33-01	TCGA-W5-AA2X-01	TCGA-W5-AA38-01	TCGA-W5-AA2U-11	TCGA-4G-AAZT-01	TCGA-YR-A95A-01	TCGA-W5-AA31-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-W5-AA2X-11	TCGA-W5-AA39-01	TCGA-W5-AA2Z-01	TCGA-3X-AAVA-01	TCGA-W5-AA2R-11	TCGA-ZH-A8Y8-01	TCGA-ZD-A8I3-01	TCGA-W5-AA2R-01	TCGA-W5-AA34-01	TCGA-3X-AAV9-01	TCGA-W5-AA2I-11	TCGA-ZU-A8S4-01	TCGA-W5-AA31-11	TCGA-W5-AA30-01	TCGA-ZH-A8Y4-01	TCGA-W5-AA2G-01	TCGA-W5-AA2Q-11	TCGA-ZH-A8Y5-01	TCGA-W5-AA30-11	TCGA-W6-AA0S-01	TCGA-W5-AA2Q-01	TCGA-3X-AAVC-01	TCGA-4G-AAZO-01
ENST00000217169	BIRC7-201	1.9149	-2.5479	-2.7274	-0.4719	-9.9658	-2.4659	-2.7274	-9.9658	-2.9324	-1.8836	-9.9658	-1.3921	-9.9658	-1.9942	-1.7322	-1.4699	-3.3076	-2.3884	-9.9658	-3.3076	-0.2498	-9.9658	-9.9658	-9.9658	-2.9324	-0.6416	-9.9658	-9.9658	-1.1488	-2.114	-9.9658	4.0064	-9.9658	-1.9379	-9.9658	-3.1714	-9.9658	-1.5522	-9.9658	-9.9658	-9.9658	-2.3884	-3.816	-2.3147	-9.9658
ENST00000342412	BIRC7-202	1.0983	-1.4305	-9.9658	-9.9658	-2.3147	-9.9658	-9.9658	-5.5735	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-1.0559	-9.9658	-2.4659	-2.8262	-2.8262	-2.2447	-9.9658	-9.9658	-4.2934	-9.9658	-1.9942	-9.9658	-5.5735	-1.4699	-1.0862	-9.9658	-2.7274	3.3336	-9.9658	-0.1993	-5.5735	-9.9658	-5.5735	-0.8339	-5.0116	-4.035	-5.5735	-1.1172	-2.5479	-0.4921	-0.5543
ENST00000395306	BIRC7-203	-2.9324	-9.9658	-9.9658	-2.114	-9.9658	-9.9658	-5.5735	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	-2.8262	-3.3076	-9.9658	-9.9658	-2.3884	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.2671	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-9.9658
ENST00000225831	CCL2-201	6.6784	7.5963	6.5269	4.3191	5.1469	3.9506	3.5887	3.7204	5.1724	2.8562	2.3536	8.5916	3.6277	6.8453	2.9729	8.9255	4.5454	8.238	5.6775	8.6829	9.0185	8.525	4.5723	1.6875	7.2506	6.7294	5.7905	8.2553	4.5988	6.8933	6.9131	6.6953	3.0411	5.0661	5.6659	7.7164	7.4742	6.3299	6.4783	3.1278	4.8495	6.0758	6.0023	4.5173	3.4687
ENST00000580907	CCL2-202	0.9419	1.125	0.7916	-9.9658	-0.394	-9.9658	-2.4659	-1.2481	-9.9658	-9.9658	-4.035	1.692	-1.8836	1.5612	-1.7809	3.0145	-3.3076	-1.1811	0.0854	2.2931	2.9984	1.8643	0.1648	-9.9658	0.2762	1.0915	0.058	3.4543	-1.2828	0.9038	-1.1811	-0.2498	-1.3183	-0.9406	0.2522	2.1247	1.1447	-1.0262	-0.0277	-5.0116	-0.7834	-0.4921	-0.2671	-2.0529	-9.9658
ENST00000624362	CCL2-203	-0.7346	-0.3201	-2.114	-9.9658	-2.7274	-9.9658	-5.0116	-3.816	-2.2447	-9.9658	-9.9658	0.7233	-9.9658	0.5568	-9.9658	1.8119	-3.0469	-3.816	-1.4699	1.0151	1.0503	0.2762	-3.816	-9.9658	-0.7834	-0.5756	-4.035	0.7999	-2.1779	-0.4325	-0.0277	-2.0529	-3.6259	-4.6082	-2.3884	-0.1828	-0.7346	-5.0116	-3.6259	-3.6259	-2.8262	-2.3884	-1.7809	-4.6082	-4.035
ENST00000219235	CCL22-201	0.2154	-2.7274	2.296	4.131	0.1257	-2.1779	-4.6082	-3.6259	-0.2845	-3.816	-2.9324	1.5465	-4.2934	2.5363	1.1577	-2.5479	-1.7322	-0.7588	-2.3884	1.5165	-2.5479	0.9419	-1.4305	-5.5735	-2.114	0.434	-2.1779	-0.1665	-3.816	1.5465	0.4552	2.183	-3.3076	-2.114	-2.1779	0.1776	-2.9324	-0.7346	-3.458	-6.5064	-2.3884	-0.1828	-2.7274	1.9895	-1.6394
ENST00000381573	CD274-201	-9.9658	-9.9658	-0.3383	0.8805	-9.9658	-2.3884	-9.9658	-3.816	-9.9658	-5.0116	-6.5064	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-2.114	-9.9658	-9.9658	-2.7274	-9.9658	-9.9658	-4.2934	-1.8836	-1.8836	-9.9658	-2.2447	-9.9658	-0.8599	-9.9658	-9.9658	-2.6349	-3.458	2.5388	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.7274	-9.9658	-9.9658	-9.9658	-2.0529
ENST00000381577	CD274-202	0.6608	-0.0574	-0.9132	-2.3147	0.3907	-2.6349	0.0014	-1.6394	-0.9406	-3.3076	-2.2447	0.9789	2.5876	0.4125	-3.458	-1.685	-2.6349	-2.4659	-1.3548	-0.2671	-0.9132	-0.7346	-1.1811	-2.2447	1.5661	-2.114	-0.8339	-0.1504	-1.1172	1.1382	-0.0574	-0.2845	-3.816	4.166	-1.2828	-0.8084	-1.5522	-0.3566	-1.1172	-2.1779	-1.7809	0.3573	-1.1488	0.8488	-1.1811
ENST00000474218	CD274-203	-0.4521	-9.9658	-9.9658	-2.5479	-0.7834	-1.5105	0.1124	-9.9658	-2.8262	-2.2447	-9.9658	-9.9658	0.0854	-2.6349	-1.8314	-1.685	-9.9658	-1.8314	-0.8339	-2.7274	-1.0559	-9.9658	-9.9658	-0.9686	-0.3566	-1.5105	-2.6349	-0.7108	-0.6416	-1.2142	-0.4325	-9.9658	-9.9658	0.0158	-9.9658	-1.5105	-9.9658	-2.0529	-9.9658	-2.6349	-9.9658	-1.7809	-5.0116	-2.5479	-9.9658
