Name	sample	TCGA-FA-8693-01	TCGA-FA-A4BB-01	TCGA-FA-A4XK-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-FA-A7DS-01	TCGA-FA-A7Q1-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-FF-A7CQ-01	TCGA-FF-A7CR-01	TCGA-FF-A7CW-01	TCGA-FF-A7CX-01	TCGA-G8-6324-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6907-01	TCGA-G8-6909-01	TCGA-G8-6914-01	TCGA-GR-7351-01	TCGA-GR-7353-01	TCGA-GR-A4D4-01	TCGA-GR-A4D5-01	TCGA-GR-A4D6-01	TCGA-GR-A4D9-01	TCGA-GS-A9TQ-01	TCGA-GS-A9TT-01	TCGA-GS-A9TU-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TY-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U3-01	TCGA-GS-A9U4-01	TCGA-RQ-A68N-01	TCGA-RQ-A6JB-01	TCGA-RQ-AAAT-01	TCGA-VB-A8QN-01
CCL2-203	ENST00000624362.1	2.0108	3.0126	3.4816	6.4333	6.314	4.9312	4.2071	2.342	5.067	1.585	1.0	1.5898	0.0	1.5898	1.0	1.5898	6.6128	5.8056	3.7247	2.0108	0.0	3.3234	0.0	0.0	0.0	0.0	2.3248	1.585	2.3248	5.6439	4.1898	2.5945	6.5797	2.3477	0.0	5.0295	6.6896	4.3491	4.193	0.0	3.1969	5.4266	5.0312	4.9284	4.025	0.0	1.6041
CCL22-201	ENST00000219235.4	7.5078	10.5314	14.1989	13.2858	7.1699	6.7841	8.7074	9.5098	13.9531	11.1849	2.3219	11.6622	7.6073	12.3295	9.1344	11.1911	6.4757	7.9773	13.1776	11.3859	10.4543	14.547	10.8765	6.4429	4.7004	12.6793	11.5784	10.3554	8.375	6.2095	7.9366	10.2586	7.6724	6.0661	12.2213	12.9921	11.4294	15.0775	11.6027	4.5236	14.6731	11.3157	14.3754	8.1997	9.676	9.796	12.1883
CD274-201	ENST00000381573.8	7.3136	8.9506	5.7509	8.1226	7.9275	4.5546	6.3486	7.417	8.3548	9.2561	8.1393	6.4472	6.3493	6.2647	5.7211	7.9618	5.0548	8.4391	7.6389	6.7331	6.2668	9.8164	10.8851	7.2491	4.858	3.6576	7.7932	5.625	4.0849	7.7755	8.0713	6.7617	0.0	0.848	0.0	5.0807	5.1867	6.8949	0.0	6.9527	6.1367	6.732	7.6552	9.3802	6.0881	5.225	7.1533
CD274-202	ENST00000381577.3	9.4683	8.1848	13.3779	9.8323	9.7764	12.4387	5.5552	6.0796	9.2278	9.2782	7.2414	6.4234	7.2231	4.3999	5.1396	7.6695	12.6767	11.4874	7.8415	7.1883	0.0	9.3344	9.8913	8.2319	0.0	11.0402	8.4617	8.1462	5.8587	9.5089	10.3658	5.5613	10.3811	8.7994	10.2099	10.3633	11.7619	12.1643	9.0322	3.6576	12.021	10.9977	12.5694	8.7382	8.5627	3.6542	7.9387
CD274-203	ENST00000474218.1	3.5361	4.0188	11.5654	1.2928	0.0	6.3911	1.2079	1.3103	2.7312	3.8115	3.3757	3.157	0.0841	0.0	0.0	3.4634	8.8977	2.9486	1.7355	1.8914	0.0	4.5753	5.4433	3.7268	1.0	7.7572	3.5398	2.1177	2.0	2.7655	3.2869	1.1827	3.1827	2.1408	2.8914	2.84	5.0014	5.7787	2.5211	1.8115	2.9561	3.5261	6.1981	2.211	2.9355	2.8115	1.2016
CD274-204	ENST00000492923.1	0.0	1.0215	10.8917	4.5886	3.2525	6.6917	1.1309	0.0	2.6781	0.0	0.0	0.0	0.0	0.0	0.0	1.0496	8.2571	4.3799	0.0	2.5993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.8679	2.5261	0.0	3.844	1.7004	3.9873	1.9222	5.044	5.4607	2.5135	0.0	5.615	3.2373	5.9437	1.0356	1.144	0.0	0.0
CD274-205	ENST00000498261.1	0.0	0.0	12.6201	2.3646	0.0	5.6349	0.0	0.0	2.3277	1.373	1.2388	0.0	0.0	0.0	0.0	0.0	10.2475	2.4005	0.0	0.0	0.0	0.0	2.1859	0.0	0.0	8.0558	0.0	0.0	0.0	1.5361	0.0	0.0	3.6949	0.0	1.7398	0.0	2.9653	3.4686	0.0	0.0	3.3132	0.0	2.6781	1.5361	0.0	0.0	0.0
IDO1-201	ENST00000253513.11	9.5268	9.3628	4.8792	7.4491	9.8026	9.8063	4.3406	7.5225	8.8849	7.4134	8.3293	5.9305	7.9944	7.3289	5.6702	6.4486	10.0809	10.9516	7.432	5.477	6.1006	9.6459	13.0915	7.747	4.6467	8.3058	8.1254	6.5838	7.7304	4.2743	9.9581	8.4227	7.3755	6.3298	5.3865	7.7885	10.2295	10.7507	7.4017	5.9425	8.8423	9.3744	11.3985	8.2173	8.1163	6.3505	7.6379
IDO1-202	ENST00000518237.5	4.8089	3.4841	0.0	3.6668	7.3403	6.2774	3.228	2.7093	6.0815	4.0704	0.0	0.0	0.0	2.7442	0.0	3.4751	6.0522	7.1744	2.84	0.0	2.6781	5.1807	3.488	0.0	0.0	0.0	2.5993	3.4738	0.0	3.0108	5.3234	2.6135	4.6427	3.6656	0.0	5.729	6.4456	6.516	0.0	0.0	6.7255	6.1014	7.4331	3.5236	4.8615	0.0	0.0
IDO1-203	ENST00000518804.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IDO1-204	ENST00000519154.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8699	0.0	0.0	0.0	0.0	0.0	0.0
IDO1-205	ENST00000521480.1	1.0909	1.0286	0.0	1.1243	1.1043	2.7634	0.0	0.0	0.0	0.0	1.0704	0.0	0.0	0.0	0.0	0.0	1.1309	3.6769	0.0	1.0356	0.0	0.0	2.3978	0.0	0.0	0.0	0.0	0.0	0.0	1.0909	1.7137	0.0	1.0909	1.1177	1.0909	1.7991	3.2342	1.1243	0.0	1.1177	0.0	0.0	4.696	0.0	0.0	0.0	0.0
IDO1-206	ENST00000521636.1	2.5311	2.5361	0.0	1.3785	2.7398	3.0215	0.0	0.0	1.4699	0.0	0.0	0.0	2.5211	0.0	0.0	1.373	3.1667	3.4449	0.0	0.0	0.0	1.8875	4.8063	1.8679	0.0	2.3618	0.0	1.9964	2.3896	1.6323	3.8197	1.144	0.0	0.0	0.0	0.0	3.342	4.272	2.101	0.0	2.2839	2.2265	5.2664	3.2913	2.251	0.0	2.5777
IDO1-207	ENST00000522495.5	12.1999	9.3705	8.7688	10.0839	12.5231	12.2612	6.3507	10.0204	11.4771	10.2374	9.9437	7.4897	9.6702	8.2735	6.6014	10.248	12.6712	13.2948	9.7689	8.137	8.481	12.0591	14.8989	8.6297	4.1985	10.2228	10.3681	9.6101	9.2862	8.2518	12.4192	8.3196	10.7485	9.0915	7.5395	10.119	12.7722	13.2159	9.7207	4.8176	11.1669	11.8947	14.2761	11.3749	11.3467	6.2481	9.9168
IDO1-208	ENST00000522840.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IDO1-209	ENST00000523779.1	9.2589	7.1259	4.5466	6.9595	8.7381	8.8049	3.2869	7.3531	8.6439	7.5046	6.948	4.342	7.0171	5.1735	4.3205	7.245	9.1669	9.0649	7.041	1.9635	5.3462	9.3458	12.4412	6.6066	3.1027	7.2423	7.9429	7.0056	6.6007	3.5311	9.0191	4.3944	6.6369	5.5595	0.0	6.0306	9.367	10.2353	5.9738	1.6462	7.5385	8.0564	10.5383	8.013	7.1431	2.6758	6.9571
IL10-201	ENST00000367099.3	0.0	2.4249	3.6769	1.546	2.7268	4.1675	0.0	0.0	1.6462	0.0	1.0772	0.0	0.0	0.0	0.0	0.0	6.1603	5.5395	1.0909	2.441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4561	0.0	5.0875	0.0	2.7887	0.0	1.111	0.0	4.1867	3.4222	1.6323	3.853	0.0	0.0	0.0
IL10-202	ENST00000423557.1	9.2118	8.069	10.2836	7.6721	8.961	12.3543	5.0548	8.1606	9.0624	7.5774	8.0709	6.1699	4.6363	6.6294	5.9172	8.3458	12.5884	11.6657	8.6434	7.7367	5.0	9.0219	10.1042	7.7804	2.3219	7.6795	7.4517	6.3484	5.3576	7.9779	9.0485	8.5841	11.0975	6.7098	12.3229	7.9941	9.972	10.2075	7.6784	9.4386	10.0173	10.0885	9.9166	10.6365	7.948	7.4757	7.5931
IL10-203	ENST00000471071.1	3.8094	2.3448	3.1391	2.8319	4.1731	3.7991	1.4647	2.7761	4.1069	2.0	0.0	0.0	1.6462	0.0	2.1922	2.5008	4.9533	5.7477	0.0	0.3561	1.585	1.6645	1.1827	1.1043	0.0	0.0	2.3045	1.8156	0.0	2.5607	3.5248	1.1635	4.3169	2.8718	5.7942	3.1779	5.4522	5.1953	0.0	1.6323	6.1789	4.7819	4.0339	2.2141	4.1747	0.0	2.5632
LGALS3-201	ENST00000254301.13	13.7854	12.9161	14.4447	12.8173	13.297	12.412	12.0406	12.5136	12.5945	11.3587	12.3866	11.4181	11.3753	10.7979	12.18	11.674	12.0276	12.568	12.1119	12.2549	9.9994	13.4132	13.1627	11.859	12.0331	11.3723	13.1145	11.6701	11.7482	11.8346	13.8657	11.4359	12.9189	12.4154	11.2961	12.6078	13.2339	13.0141	11.1313	12.4043	12.8431	12.7787	12.6166	13.0425	14.4457	11.8552	12.5607
LGALS3-202	ENST00000553493.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS3-203	ENST00000553755.5	7.3968	4.9639	10.4337	7.2872	9.4601	6.3365	7.1463	7.5523	8.9903	6.0041	6.8103	5.0094	4.682	4.0152	6.7098	4.6427	8.2101	8.3432	5.9148	8.3274	4.5279	6.4199	3.5789	0.0	4.3103	3.0426	6.4204	5.1432	0.0	7.2499	10.08	3.9635	8.4237	8.2262	7.1831	8.7997	9.7755	9.0184	6.9346	3.6611	8.6579	6.9117	8.4844	7.2313	10.346	1.5361	7.8126
LGALS3-204	ENST00000554715.1	2.0566	0.0	5.5173	4.4182	3.7845	0.0	2.359	2.2898	3.9882	0.0	2.6848	0.0	0.0	0.0	0.0	0.0	0.0	2.4141	2.1177	3.6439	0.0	1.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4012	1.585	3.7203	4.2149	3.9298	2.6135	4.8068	3.9392	3.266	0.0	4.3406	3.6427	2.3896	0.0	4.7032	0.0	2.9982
LGALS3-205	ENST00000556263.1	3.025	2.5261	4.3889	2.6668	2.6848	1.844	0.0	0.0	0.0	1.8032	0.0	0.0	0.0	0.0	3.8972	0.0	0.0	0.0	0.0	1.8237	2.6346	1.7527	0.0	0.0	0.0	0.0	0.0	0.0	1.848	1.7949	3.5323	2.5361	2.9782	3.1043	1.6915	0.0	0.0	2.6848	0.0	0.0	0.0	2.546	0.0	2.9819	3.7939	0.0	2.3813
LGALS3-206	ENST00000556322.1	2.696	0.0	2.8115	2.9873	2.1667	0.0	0.0	2.7845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0976	1.9373	1.8359	1.7485	0.0	0.0	0.0	0.0	0.0	0.0	2.846	0.0	0.0	0.0	0.0	1.5211	0.0	0.0	0.0	0.0	0.0	2.1603	0.0	0.0	0.0	2.862	2.1408	0.0	2.943	0.0	0.0
LGALS3-207	ENST00000556438.6	8.246	8.9887	9.3336	9.3073	8.0664	7.0861	6.9113	6.8447	7.614	6.4944	8.1227	7.1523	6.7518	6.578	7.609	7.0158	7.1745	7.1869	7.4041	8.5656	5.7861	8.7985	9.0316	7.2131	8.0609	6.6551	8.6089	6.8689	7.7507	7.694	8.4661	7.2029	8.637	6.4514	6.454	7.4357	7.8047	7.567	6.0862	7.0627	7.3909	7.1494	8.1439	8.4583	9.3707	7.9209	7.3421
LRRC32-201	ENST00000260061.9	8.5879	9.777	9.8135	9.0837	9.1233	10.2857	11.3896	10.3773	8.1351	5.7698	6.9433	13.0082	7.2493	10.5984	9.2416	10.4355	11.3634	8.0997	8.8623	11.0524	7.3306	8.8697	8.8361	9.0808	6.5301	9.397	9.696	9.0327	10.4696	12.0589	12.7848	9.0847	13.2289	11.0779	10.6918	11.2067	7.628	10.2964	10.6277	10.279	8.6577	9.1793	9.7381	8.8879	11.4957	11.0591	11.08
LRRC32-202	ENST00000404995.5	4.2172	4.6392	5.5478	3.9919	6.5651	5.7407	6.5309	6.0734	4.5945	2.6713	3.5957	10.222	3.0721	6.0919	4.5298	6.0972	6.8269	3.5826	3.3923	6.796	4.0652	3.6253	4.7803	4.4296	3.9773	5.0798	6.4637	4.5279	6.8183	7.4439	8.5915	5.4925	8.7696	7.2366	5.1338	6.6427	0.0	5.7874	6.6604	4.4046	5.0228	4.9639	6.0919	3.9662	7.2131	7.1418	7.9089
LRRC32-203	ENST00000407242.6	4.8027	4.926	6.9326	0.0	6.1908	6.6781	7.8694	7.1568	4.4874	0.0	0.0	5.8525	0.0	0.0	0.0	0.0	5.9771	6.7108	0.0	4.479	0.0	4.8684	0.0	5.7032	0.0	0.0	0.0	4.7751	0.0	8.4305	8.5898	0.0	8.4318	6.0398	5.7988	4.272	5.1027	7.5023	5.0652	0.0	5.6829	5.6834	8.8439	7.7585	9.2564	6.0301	6.2804
LRRC32-204	ENST00000421973.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC32-205	ENST00000464145.1	6.7643	9.3736	6.0921	5.7412	5.3771	6.7394	7.8811	8.2755	4.4114	4.9098	5.6103	11.8453	6.5306	9.1532	8.1678	9.0681	6.8432	3.3147	6.4111	7.1575	7.0585	8.3068	8.106	7.9416	6.1665	8.3398	8.705	8.2612	9.4205	6.4446	9.2073	8.2993	8.7128	6.7257	4.9141	4.7153	4.691	6.3558	5.496	10.0228	3.4931	5.0295	6.4476	7.2007	7.2427	11.6334	8.5591
