Name	sample	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2I-11	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-01	TCGA-W5-AA2R-11	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2U-11	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2X-11	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA30-11	TCGA-W5-AA31-01	TCGA-W5-AA31-11	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-ZU-A8S4-11
BIRC7-201	ENST00000217169.7	4.0064	-0.6416	1.9149	-2.3147	-1.3921	-9.9658	-2.3884	-1.5522	-0.4719	-1.8836	-9.9658	-2.7274	-3.816	-9.9658	-2.114	-9.9658	-2.4659	-9.9658	-3.3076	-2.5479	-1.7322	-9.9658	-2.9324	-3.1714	-9.9658	-3.3076	-9.9658	-1.9942	-9.9658	-9.9658	-2.9324	-1.4699	-9.9658	-2.3884	-2.7274	-9.9658	-1.1488	-0.2498	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.9379	-9.9658
BIRC7-202	ENST00000342412.10	3.3336	-9.9658	1.0983	-0.4921	-9.9658	-0.5543	-2.8262	-0.8339	-9.9658	-9.9658	-9.9658	-9.9658	-2.5479	-5.0116	-9.9658	-5.5735	-9.9658	-2.3147	-2.4659	-1.4305	-1.0559	-4.2934	-1.9942	-9.9658	-5.5735	-2.2447	-5.5735	-3.458	-2.7274	-5.5735	-3.6259	-9.9658	-9.9658	-1.1172	-9.9658	-2.8262	-1.0862	-9.9658	-9.9658	-5.5735	-4.035	-9.9658	-1.4699	-0.1993	-9.9658
BIRC7-203	ENST00000395306.1	-0.2671	-2.9324	-2.9324	-9.9658	-3.3076	-9.9658	-2.3884	-3.1714	-2.114	-9.9658	-9.9658	-5.5735	-3.816	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.8262	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
CCL2-201	ENST00000225831.4	6.6953	6.7294	6.6784	4.5173	8.5916	3.4687	8.238	6.3299	4.3191	2.8562	3.0411	3.5887	6.0023	6.4783	6.8933	5.7905	3.9506	5.1469	4.5454	7.5963	2.9729	4.5723	7.2506	7.7164	4.8495	8.6829	5.6659	6.8453	6.9131	3.7204	5.1724	8.9255	1.6875	6.0758	6.5269	5.6775	4.5988	9.0185	8.525	7.4742	3.1278	3.6277	8.2553	5.0661	2.3536
CCL2-202	ENST00000580907.5	-0.2498	1.0915	0.9419	-2.0529	1.692	-9.9658	-1.1811	-1.0262	-9.9658	-9.9658	-1.3183	-2.4659	-0.2671	-0.0277	0.9038	0.058	-9.9658	-0.394	-3.3076	1.125	-1.7809	0.1648	0.2762	2.1247	-0.7834	2.2931	0.2522	1.5612	-1.1811	-1.2481	-9.9658	3.0145	-9.9658	-0.4921	0.7916	0.0854	-1.2828	2.9984	1.8643	1.1447	-5.0116	-1.8836	3.4543	-0.9406	-4.035
CCL2-203	ENST00000624362.1	-2.0529	-0.5756	-0.7346	-4.6082	0.7233	-4.035	-3.816	-5.0116	-9.9658	-9.9658	-3.6259	-5.0116	-1.7809	-3.6259	-0.4325	-4.035	-9.9658	-2.7274	-3.0469	-0.3201	-9.9658	-3.816	-0.7834	-0.1828	-2.8262	1.0151	-2.3884	0.5568	-0.0277	-3.816	-2.2447	1.8119	-9.9658	-2.3884	-2.114	-1.4699	-2.1779	1.0503	0.2762	-0.7346	-3.6259	-9.9658	0.7999	-4.6082	-9.9658
CCL22-201	ENST00000219235.4	2.183	0.434	0.2154	1.9895	1.5465	-1.6394	-0.7588	-0.7346	4.131	-3.816	-3.3076	-4.6082	-2.7274	-3.458	1.5465	-2.1779	-2.1779	0.1257	-1.7322	-2.7274	1.1577	-1.4305	-2.114	0.1776	-2.3884	1.5165	-2.1779	2.5363	0.4552	-3.6259	-0.2845	-2.5479	-5.5735	-0.1828	2.296	-2.3884	-3.816	-2.5479	0.9419	-2.9324	-6.5064	-4.2934	-0.1665	-2.114	-2.9324
CD274-201	ENST00000381573.8	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-2.0529	-9.9658	-9.9658	0.8805	-5.0116	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-2.2447	-2.3884	-9.9658	-2.114	-9.9658	-3.816	-4.2934	-1.8836	-9.9658	-2.7274	-2.7274	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-1.8836	-9.9658	-0.3383	-9.9658	-0.8599	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	2.5388	-6.5064
CD274-202	ENST00000381577.3	-0.2845	-2.114	0.6608	0.8488	0.9789	-1.1811	-2.4659	-0.3566	-2.3147	-3.3076	-3.816	0.0014	-1.1488	-1.1172	1.1382	-0.8339	-2.6349	0.3907	-2.6349	-0.0574	-3.458	-1.1811	1.5661	-0.8084	-1.7809	-0.2671	-1.2828	0.4125	-0.0574	-1.6394	-0.9406	-1.685	-2.2447	0.3573	-0.9132	-1.3548	-1.1172	-0.9132	-0.7346	-1.5522	-2.1779	2.5876	-0.1504	4.166	-2.2447
CD274-203	ENST00000474218.1	-9.9658	-1.5105	-0.4521	-2.5479	-9.9658	-9.9658	-1.8314	-2.0529	-2.5479	-2.2447	-9.9658	0.1124	-5.0116	-9.9658	-1.2142	-2.6349	-1.5105	-0.7834	-9.9658	-9.9658	-1.8314	-9.9658	-0.3566	-1.5105	-9.9658	-2.7274	-9.9658	-2.6349	-0.4325	-9.9658	-2.8262	-1.685	-0.9686	-1.7809	-9.9658	-0.8339	-0.6416	-1.0559	-9.9658	-9.9658	-2.6349	0.0854	-0.7108	0.0158	-9.9658
CD274-204	ENST00000492923.1	-9.9658	-9.9658	-1.5951	-9.9658	-3.816	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-3.6259	-1.1488	-9.9658	-9.9658	-1.685	-9.9658	-2.3884	-9.9658	-9.9658	-1.8314	-9.9658	-9.9658	-4.035	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-0.6643	-3.816	-3.6259	-9.9658
