Name	sample	TCGA-2J-AAB1-01	TCGA-2J-AAB4-01	TCGA-2J-AAB6-01	TCGA-2J-AAB8-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AABE-01	TCGA-2J-AABF-01	TCGA-2J-AABH-01	TCGA-2J-AABI-01	TCGA-2J-AABK-01	TCGA-2J-AABO-01	TCGA-2J-AABP-01	TCGA-2J-AABR-01	TCGA-2J-AABT-01	TCGA-2J-AABU-01	TCGA-2J-AABV-01	TCGA-2L-AAQA-01	TCGA-2L-AAQE-01	TCGA-2L-AAQI-01	TCGA-2L-AAQJ-01	TCGA-2L-AAQL-01	TCGA-2L-AAQM-01	TCGA-3A-A9I5-01	TCGA-3A-A9I7-01	TCGA-3A-A9I9-01	TCGA-3A-A9IB-01	TCGA-3A-A9IC-01	TCGA-3A-A9IH-01	TCGA-3A-A9IJ-01	TCGA-3A-A9IL-01	TCGA-3A-A9IN-01	TCGA-3A-A9IO-01	TCGA-3A-A9IR-01	TCGA-3A-A9IS-01	TCGA-3A-A9IU-01	TCGA-3A-A9IV-01	TCGA-3A-A9IX-01	TCGA-3A-A9IZ-01	TCGA-3A-A9J0-01	TCGA-3E-AAAY-01	TCGA-3E-AAAZ-01	TCGA-F2-6879-01	TCGA-F2-6880-01	TCGA-F2-7273-01	TCGA-F2-7276-01	TCGA-F2-A44G-01	TCGA-F2-A44H-01	TCGA-F2-A7TX-01	TCGA-F2-A8YN-01	TCGA-FB-A4P5-01	TCGA-FB-A4P6-01	TCGA-FB-A545-01	TCGA-FB-A5VM-01	TCGA-FB-A78T-01	TCGA-FB-A7DR-01	TCGA-FB-AAPP-01	TCGA-FB-AAPQ-01	TCGA-FB-AAPS-01	TCGA-FB-AAPU-01	TCGA-FB-AAPY-01	TCGA-FB-AAPZ-01	TCGA-FB-AAQ0-01	TCGA-FB-AAQ1-01	TCGA-FB-AAQ2-01	TCGA-FB-AAQ3-01	TCGA-FB-AAQ6-01	TCGA-H6-8124-01	TCGA-H6-8124-11	TCGA-H6-A45N-01	TCGA-H6-A45N-11	TCGA-H8-A6C1-01	TCGA-HV-A5A3-01	TCGA-HV-A5A3-11	TCGA-HV-A5A4-01	TCGA-HV-A5A5-01	TCGA-HV-A5A6-01	TCGA-HV-A7OL-01	TCGA-HV-A7OP-01	TCGA-HV-AA8V-01	TCGA-HV-AA8X-01	TCGA-HZ-7289-01	TCGA-HZ-7918-01	TCGA-HZ-7919-01	TCGA-HZ-7920-01	TCGA-HZ-7922-01	TCGA-HZ-7923-01	TCGA-HZ-7924-01	TCGA-HZ-7925-01	TCGA-HZ-7926-01	TCGA-HZ-8001-01	TCGA-HZ-8002-01	TCGA-HZ-8003-01	TCGA-HZ-8005-01	TCGA-HZ-8315-01	TCGA-HZ-8317-01	TCGA-HZ-8519-01	TCGA-HZ-8636-01	TCGA-HZ-8637-01	TCGA-HZ-8638-01	TCGA-HZ-A49G-01	TCGA-HZ-A49H-01	TCGA-HZ-A49I-01	TCGA-HZ-A4BH-01	TCGA-HZ-A4BK-01	TCGA-HZ-A77O-01	TCGA-HZ-A77P-01	TCGA-HZ-A77Q-01	TCGA-HZ-A8P0-01	TCGA-HZ-A8P1-01	TCGA-HZ-A9TJ-01	TCGA-HZ-A9TJ-06	TCGA-IB-7644-01	TCGA-IB-7645-01	TCGA-IB-7646-01	TCGA-IB-7647-01	TCGA-IB-7649-01	TCGA-IB-7651-01	TCGA-IB-7652-01	TCGA-IB-7654-01	TCGA-IB-7885-01	TCGA-IB-7886-01	TCGA-IB-7887-01	TCGA-IB-7888-01	TCGA-IB-7889-01	TCGA-IB-7890-01	TCGA-IB-7891-01	TCGA-IB-7893-01	TCGA-IB-7897-01	TCGA-IB-8126-01	TCGA-IB-8127-01	TCGA-IB-A5SO-01	TCGA-IB-A5SP-01	TCGA-IB-A5SQ-01	TCGA-IB-A5SS-01	TCGA-IB-A5ST-01	TCGA-IB-A6UF-01	TCGA-IB-A6UG-01	TCGA-IB-A7LX-01	TCGA-IB-A7M4-01	TCGA-IB-AAUM-01	TCGA-IB-AAUN-01	TCGA-IB-AAUO-01	TCGA-IB-AAUP-01	TCGA-IB-AAUQ-01	TCGA-IB-AAUR-01	TCGA-IB-AAUS-01	TCGA-IB-AAUT-01	TCGA-IB-AAUU-01	TCGA-IB-AAUV-01	TCGA-IB-AAUW-01	TCGA-L1-A7W4-01	TCGA-LB-A7SX-01	TCGA-LB-A8F3-01	TCGA-LB-A9Q5-01	TCGA-M8-A5N4-01	TCGA-OE-A75W-01	TCGA-PZ-A5RE-01	TCGA-Q3-A5QY-01	TCGA-Q3-AA2A-01	TCGA-RB-A7B8-01	TCGA-RB-AA9M-01	TCGA-RL-AAAS-01	TCGA-S4-A8RM-01	TCGA-S4-A8RO-01	TCGA-S4-A8RP-01	TCGA-US-A774-01	TCGA-US-A776-01	TCGA-US-A779-01	TCGA-US-A77E-01	TCGA-US-A77G-01	TCGA-US-A77J-01	TCGA-XD-AAUG-01	TCGA-XD-AAUH-01	TCGA-XD-AAUI-01	TCGA-XD-AAUL-01	TCGA-XN-A8T3-01	TCGA-XN-A8T5-01	TCGA-YB-A89D-01	TCGA-YB-A89D-11	TCGA-YH-A8SY-01	TCGA-YY-A8LH-01	TCGA-Z5-AAPL-01
BIRC7-201	ENST00000217169.7	-1.8836	3.0637	5.8001	1.4174	0.4447	-9.9658	0.1124	0.6145	2.9032	-0.6873	0.1388	2.6693	1.2023	-0.5756	1.9968	0.4967	-1.6394	2.4727	-0.5543	-0.9406	-0.1031	1.1512	-9.9658	-2.0529	-0.1993	5.8682	-0.7834	1.2209	-0.6643	-9.9658	-1.8314	-1.0262	-9.9658	-9.9658	-9.9658	-0.4131	-9.9658	-1.2828	-0.9686	2.2482	1.0983	0.4761	-3.1714	-9.9658	-2.0529	-0.3752	2.1606	0.0014	-0.1993	-0.7108	0.5859	-0.6873	1.3846	-0.3752	2.8381	-0.4325	-9.9658	-1.5951	1.6093	-1.2828	1.0079	1.5316	2.3423	0.24	1.3791	-0.6193	-0.4719	1.1117	1.9564	1.5316	-9.9658	1.5612	0.3573	0.3796	2.8402	-0.9686	-0.7834	3.3535	-2.6349	1.3167	1.177	-9.9658	-1.7322	-0.0277	-9.9658	0.7999	-0.6416	-9.9658	-0.9971	-9.9658	-0.6416	-0.2159	-0.3383	0.9493	-0.1345	-9.9658	-0.5756	1.3109	-1.4305	-9.9658	1.1184	-1.6394	2.0946	2.118	1.1316	0.8488	0.1776	0.8082	-1.0262	0.3573	1.0711	1.642	-1.9942	1.0711	-9.9658	-1.7809	-1.3548	-0.1993	0.4761	-2.114	-0.3752	-0.9406	0.2762	-1.6394	-0.2671	2.3732	-1.3548	2.4198	-9.9658	-2.0529	1.6093	-0.0725	-0.1828	-0.2498	-1.1488	-0.1187	2.8381	0.9716	2.2051	-0.5543	-2.6349	-1.2828	3.0428	0.2642	3.958	-1.1172	2.9488	1.7097	1.8201	1.6327	-1.7322	-2.3147	0.0718	-1.3921	-2.2447	2.4883	2.1988	2.0395	2.4934	1.5806	0.6425	-0.2159	-1.1172	0.5271	1.3051	1.7786	1.7489	-9.9658	1.5806	0.2998	2.3423	-0.5543	-1.0559	-0.3752	4.7893	0.0718	3.838	-3.816	0.3685	0.8327	0.1257	1.692	-1.2481
BIRC7-202	ENST00000342412.10	0.0158	1.7403	3.242	-9.9658	-0.7346	-0.3752	-0.1345	1.46	2.183	-9.9658	-0.0425	1.9527	-0.1187	-1.2142	1.125	0.1124	-4.2934	2.3788	-0.8599	-3.0469	-1.1488	0.5955	-5.5735	-1.6394	0.2029	5.3147	-0.1187	0.0158	-1.2481	-3.816	-9.9658	-9.9658	-5.5735	-9.9658	-9.9658	-1.2828	-3.1714	-2.2447	-2.6349	0.6517	1.0779	-0.5756	-9.9658	-9.9658	-9.9658	-3.3076	0.547	-0.1665	-4.6082	-1.0559	-0.2328	-1.3921	0.2277	-2.8262	2.0776	-4.035	-5.0116	-0.5973	-9.9658	-1.5522	0.537	-9.9658	1.9377	-1.1172	0.8647	-1.9942	0.5069	-1.5522	0.2762	-2.9324	-2.3884	0.2029	0.3573	-1.6394	3.0127	-0.3752	-0.0425	1.6281	-9.9658	-1.7809	-0.9132	-5.5735	-0.7834	-0.3383	-3.0469	-1.2828	-0.7108	-6.5064	-0.9132	-2.0529	-9.9658	-2.7274	-1.9379	-1.5105	-1.1172	-2.2447	-1.5522	0.7916	-1.4305	-5.0116	0.0854	-2.8262	-0.1828	0.8327	-1.2481	-0.4131	-9.9658	-2.1779	-3.0469	-9.9658	0.5763	-0.6873	-1.1811	0.3573	-2.6349	-1.1488	-9.9658	0.0158	0.7233	-2.5479	-0.2159	-1.1811	-0.5332	-9.9658	-9.9658	1.1184	-1.2142	1.0573	-0.6873	-9.9658	1.6374	-9.9658	-1.4305	-0.013	-0.0425	-4.2934	1.7995	0.1776	1.7009	-0.4521	-0.9971	0.24	2.1606	-0.9132	2.9469	-1.0559	2.578	-1.1172	0.1519	1.1706	-5.5735	-9.9658	-0.9971	-1.9942	-2.0529	1.2875	0.7916	0.537	1.3051	0.6969	-0.6873	-3.458	-1.8836	-1.4699	-1.0262	0.2642	1.1316	-5.5735	-0.3752	-0.1993	1.2815	-1.8836	-9.9658	-1.9379	3.1344	-0.8339	2.9525	-3.1714	-9.9658	-0.7588	0.7058	0.6239	-1.7809
BIRC7-203	ENST00000395306.1	-9.9658	0.679	2.4985	-0.0725	-1.4305	-9.9658	-9.9658	-9.9658	0.6608	-3.6259	-1.4699	-0.3201	-2.0529	-9.9658	-2.4659	-9.9658	-3.816	-1.6394	-2.4659	-3.816	-3.3076	-1.7809	-9.9658	-9.9658	-9.9658	2.0979	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	0.6969	-9.9658	-1.7809	-9.9658	-9.9658	-9.9658	-9.9658	0.058	-9.9658	-9.9658	-9.9658	-9.9658	-2.2447	-9.9658	-3.0469	0.8805	-3.0469	-9.9658	-1.8836	-1.9379	-2.3147	-1.8314	-3.0469	-0.1504	-9.9658	1.5165	-1.3921	-9.9658	-1.7322	-2.7274	-9.9658	-9.9658	-2.5479	-9.9658	-2.8262	0.5568	-9.9658	-2.8262	0.2029	-1.8836	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.4699	-3.6259	-9.9658	-2.3884	-9.9658	-9.9658	-2.114	-9.9658	-9.9658	-9.9658	-9.9658	-1.3548	-1.0262	-1.0559	-0.5125	-9.9658	-9.9658	-9.9658	-0.6416	-2.6349	-0.8084	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.3147	-2.9324	-9.9658	-9.9658	-9.9658	-3.816	-1.0262	-9.9658	-3.3076	-9.9658	-5.0116	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-2.7274	-0.4719	-1.8836	-2.9324	-9.9658	-3.458	-9.9658	0.3346	-9.9658	0.4657	-9.9658	-2.5479	-9.9658	-2.9324	-9.9658	-3.3076	-9.9658	-2.6349	-9.9658	-3.0469	-1.9942	-0.5756	-1.5522	-9.9658	-0.6643	-3.0469	-9.9658	-9.9658	-2.5479	-1.9942	-2.6349	-2.5479	-9.9658	-0.9406	-9.9658	-1.1488	-9.9658	-9.9658	-1.8314	1.2085	-9.9658	-0.2671	-4.2934	-9.9658	-1.685	-1.5105	-0.7108	-9.9658
CCL2-201	ENST00000225831.4	3.3364	7.4037	5.8215	5.9819	7.5721	4.8812	5.8076	7.5571	6.5715	5.5589	6.4214	5.3965	4.9883	7.7272	6.1457	2.7889	4.437	4.2586	4.3862	6.1297	5.1579	6.565	3.6417	4.66	4.8812	6.08	5.562	5.2103	5.9232	6.5322	5.72	7.4192	3.0127	4.854	3.9099	5.4529	1.6281	7.6237	6.8061	6.0687	7.427	4.7777	5.43	2.7847	6.9797	9.5372	4.7629	6.1647	5.6253	5.2529	5.0379	6.0689	4.4634	6.4694	4.366	6.9022	1.4756	5.6893	5.7038	2.3843	5.5577	6.6072	3.2959	5.1672	3.4143	6.0568	3.4384	4.8963	8.8886	6.089	2.1702	6.1948	5.0497	9.6629	5.613	6.7327	6.3683	5.428	-0.8084	6.3306	5.1571	-0.3566	6.2267	5.1429	6.382	5.3837	7.0174	4.3548	7.3428	5.4689	7.4394	7.3264	4.865	4.4784	6.1697	6.8627	5.8822	7.0641	5.3374	6.8579	7.2331	7.0859	6.1785	6.7786	4.423	5.6551	6.8044	8.8298	4.9933	4.0884	5.4206	5.8721	4.0985	8.5956	5.3288	7.6748	3.8218	4.9241	6.429	4.5589	5.3288	6.0139	5.1728	7.2421	7.4773	4.7491	6.8004	6.6509	7.5506	6.6927	5.5763	4.7388	4.481	5.1752	6.9174	6.0273	6.1142	5.7892	4.9969	3.9374	4.0091	4.6916	7.558	5.5644	5.6865	7.7304	6.9433	7.4195	5.2017	6.5868	7.3966	4.3162	6.4517	6.7601	5.585	5.2597	5.6396	4.9681	6.727	6.0179	5.0648	8.6306	7.662	3.795	3.772	6.3107	6.8706	3.1212	3.9289	4.6753	3.3032	7.1126	6.3911	8.1223	6.3887	5.2869	5.5466	9.1719	6.645	8.1997	5.4803	3.0127	7.74
CCL2-202	ENST00000580907.5	-5.5735	1.949	-1.9942	0.517	1.9968	-1.685	-0.2845	2.0946	2.0465	-0.3201	0.9493	-0.6193	-0.9406	2.9469	1.2394	-2.6349	-4.2934	-0.4921	-2.114	0.9642	-0.4521	-0.0425	-9.9658	-1.8314	-0.8599	0.517	0.5069	-0.013	0.4865	0.605	0.4865	2.6348	-3.1714	-0.7346	-0.6193	-0.8339	-3.816	2.5338	1.0711	0.6145	2.0912	-1.4305	-2.6349	-2.1779	1.0779	3.3307	-0.6193	0.6969	-0.5543	-2.5479	-9.9658	-0.0277	-9.9658	-0.1345	-0.6643	1.1512	-9.9658	1.1447	-0.8599	-3.6259	0.7664	1.6558	-1.5951	-9.9658	-9.9658	-0.7108	-9.9658	0.3115	2.9205	-0.013	-1.9942	-0.0277	-2.5479	4.1644	-0.1345	0.24	-2.1779	-1.9379	-9.9658	0.044	-0.8863	-4.6082	0.3573	-0.2671	0.1776	-0.9132	2.1114	-0.9406	0.2881	0.044	1.3511	1.6558	-0.0725	-9.9658	0.8164	1.7617	-0.4131	1.0779	-0.0877	1.3225	2.9432	1.1897	0.2642	0.8726	-0.2845	-0.0425	0.2154	2.8779	0.2029	-1.5105	-0.6643	0.2277	-1.4699	3.1162	-0.5756	0.5955	-4.035	-0.7108	-0.013	-1.3183	-1.0862	0.9038	-9.9658	1.3791	1.0573	-0.9406	0.8246	-0.0725	1.3735	1.736	-1.0862	-1.6394	-1.7809	-0.9132	-0.0725	0.0718	1.3225	0.1776	0.2154	-1.5105	-0.3566	-0.9406	1.3956	-9.9658	-0.4325	2.6278	1.4335	2.8681	-1.3548	1.4174	1.9749	-1.1488	1.4174	-0.2498	-0.013	-0.3022	-0.9686	-1.4699	1.5514	-9.9658	-1.9942	3.5449	1.3109	-0.4719	-3.6259	1.2455	1.0915	-0.7108	-9.9658	-0.9971	-0.8599	0.1124	0.4657	2.9052	1.1316	-0.2328	-0.7346	3.5149	0.3796	1.9226	-0.7588	-9.9658	2.5413
CCL2-203	ENST00000624362.1	-5.0116	-0.8339	-3.1714	-1.8836	-0.8863	-2.8262	-1.0262	0.7058	-0.4325	-2.3147	-1.5105	-2.3147	-3.816	1.0915	-0.0574	-9.9658	-3.816	-1.9379	-3.3076	-1.7322	-2.7274	-2.6349	-3.816	-1.685	-2.4659	-1.1811	-1.3548	-2.9324	-1.685	-1.9379	-0.5543	1.2636	-2.4659	-3.458	-2.4659	-2.2447	-9.9658	0.8327	-2.2447	-1.4305	-0.2328	-2.7274	-4.2934	-4.2934	-1.1172	1.3225	-1.9942	-2.3147	-1.7322	-5.0116	-3.458	-1.5105	-3.0469	-2.4659	-2.0529	-0.8339	-4.2934	-1.1811	-2.2447	-5.5735	-3.6259	-0.394	-3.3076	-2.8262	-5.0116	-3.0469	-4.035	-2.0529	1.9111	-1.5105	-2.4659	-0.8339	-4.2934	1.9786	-2.6349	-1.1811	-2.8262	-3.1714	-9.9658	-0.0725	-4.035	-9.9658	-1.2142	-1.9379	-1.3183	-1.9379	1.105	-2.0529	-2.0529	-2.3884	-0.4521	-1.4699	-2.114	-3.816	-1.4305	0.1388	-1.3183	-0.8084	-1.5105	-0.5125	0.2522	-0.8599	-9.9658	-1.2142	-5.0116	-1.9379	-0.9406	0.03	-1.5951	-4.6082	-2.3884	-2.3147	-4.2934	1.7575	-9.9658	-0.9686	-5.5735	-2.9324	-1.5105	-3.3076	-1.9942	-1.3921	-2.8262	-0.8599	-0.7346	-4.6082	-1.5951	-2.6349	0.0014	-0.4521	-1.0559	-2.114	-3.458	-1.4699	-1.685	-1.5522	-0.8863	-1.1172	-1.2142	-5.0116	-1.9942	-1.4699	0.7748	-1.5951	-2.3147	0.4552	-0.6873	-0.1993	-2.3884	-0.8863	-0.013	-2.114	-0.4131	-1.7322	-1.4305	-2.0529	-3.816	-4.2934	-0.5543	-2.6349	-3.3076	1.2271	-0.4521	-5.0116	-2.3147	-0.0877	-0.9406	-5.0116	-3.458	-2.3884	-2.114	-0.9132	-2.9324	1.2756	-1.1488	-1.8836	-1.4305	1.4494	-2.7274	0.2998	-0.9686	-9.9658	-1.3183
CCL22-201	ENST00000219235.4	3.0568	1.9564	0.8246	1.9302	1.3846	1.9111	2.6783	1.9415	0.0718	2.3222	0.6145	1.46	-0.3752	2.9802	3.2002	1.2992	-2.3147	0.9862	2.7073	-1.1488	0.7916	1.4652	-9.9658	0.3907	1.7097	0.2998	1.1512	0.1124	1.7532	-5.5735	0.605	-1.5522	1.595	-1.7809	-4.6082	0.7321	-5.5735	4.3548	-1.6394	0.3573	2.4779	0.5763	0.688	-5.0116	2.1378	1.3956	0.7058	2.7249	1.2696	1.7995	3.1765	2.2633	-0.4921	3.0995	2.0004	0.044	-3.816	-0.2328	2.362	1.0983	3.2313	2.1574	-1.7809	0.9419	1.5013	0.1257	-0.8084	-1.2142	0.346	3.1278	1.7009	3.034	0.7999	0.7321	1.5854	2.1574	-1.7809	1.8996	-4.6082	2.2051	0.2277	-2.3147	1.3109	2.376	1.4911	2.2693	4.4067	1.8564	2.753	3.4674	2.0673	3.0757	2.0254	-1.3183	1.5366	0.7579	1.3167	2.9375	2.0742	0.5666	3.2297	1.9749	3.0287	3.5959	2.5972	0.3796	1.9111	3.1062	-0.2845	-0.8599	0.1124	-1.2828	1.9675	3.5187	-0.4921	3.4752	1.9188	-0.6643	2.0979	0.3573	2.9729	1.196	-0.9686	1.1184	2.5011	-0.394	2.5756	-0.3201	3.7072	0.605	1.9188	2.9525	1.2394	3.4398	1.0779	2.362	-1.8314	1.5216	0.9716	2.4198	1.0642	1.3846	0.0014	3.449	-1.1811	4.9007	3.5312	1.0293	2.9109	1.0503	0.1776	0.4967	-0.6643	-2.7274	1.4281	0.547	2.7117	1.6045	4.2646	-0.0725	0.6425	1.7185	2.4985	1.6187	0.4865	2.5388	2.0395	-2.9324	0.3685	0.4552	1.2023	2.8799	2.3981	1.9675	2.4063	1.9822	-0.5543	2.4675	3.9608	4.5675	0.7407	0.8568	4.2212
CD274-201	ENST00000381573.8	-9.9658	-2.4659	-1.2828	-1.3183	-9.9658	-0.6416	-2.6349	-9.9658	-3.458	-9.9658	-3.6259	-1.7322	-0.8863	-9.9658	-9.9658	-0.4719	-2.9324	-9.9658	-9.9658	-2.3147	-3.0469	-2.2447	-0.3201	-9.9658	-1.8836	-2.9324	-1.9942	-9.9658	-3.458	0.1388	-9.9658	-2.0529	-9.9658	-9.9658	-9.9658	-1.3921	-9.9658	-9.9658	-9.9658	-9.9658	-1.4305	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.3147	-9.9658	-9.9658	-1.3183	-9.9658	-0.1345	0.2881	-4.6082	-9.9658	-1.3183	-9.9658	-2.3147	-9.9658	-0.2328	-1.9942	-1.9942	-0.8599	-9.9658	-9.9658	-6.5064	-9.9658	-1.2828	0.0854	-1.0262	-9.9658	-9.9658	-2.6349	-9.9658	-0.1187	-0.0277	-0.7588	-9.9658	-9.9658	-2.0529	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.5479	-9.9658	-9.9658	-9.9658	-0.1993	-9.9658	-9.9658	-9.9658	-1.2142	-9.9658	-9.9658	-2.8262	-0.8599	-2.7274	-3.6259	-0.8863	-1.0559	-2.2447	-1.0862	-9.9658	-1.1172	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.3921	-2.0529	-9.9658	-9.9658	-9.9658	-9.9658	-2.8262	-9.9658	-9.9658	-1.9379	-9.9658	-9.9658	-9.9658	-9.9658	-2.0529	-1.7322	-9.9658	-9.9658	-3.6259	-6.5064	-1.3921	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.5105	-3.458	-9.9658	-2.114	-1.4699	-1.7322	-0.6873	0.0854	-4.2934	-2.1779	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.6873	-9.9658	-3.458	-1.5951	-3.1714	-0.7834	-0.2498	-0.7834	-9.9658	-0.5543	-9.9658	-9.9658	-0.9132	-9.9658	-9.9658	-1.2481
CD274-202	ENST00000381577.3	0.7146	1.1117	2.5683	-0.1031	-0.1187	-1.9942	-0.0877	1.1833	-1.1172	-0.1828	0.044	-1.8314	1.6604	0.4761	-0.2159	0.7999	-9.9658	-0.1828	-0.4131	0.03	-1.3548	-2.5479	-1.2828	-1.3921	0.2154	-1.2142	1.334	0.1776	0.434	-4.6082	-0.0277	-1.1488	-0.6416	-1.1488	-0.4719	-0.4325	-0.4719	0.7493	0.2522	-1.1811	0.3685	-1.6394	0.537	-1.9379	0.9493	1.0779	0.4125	0.2029	1.8242	-0.4921	0.679	1.0847	0.4016	-2.2447	-0.2671	1.7316	-0.1665	-0.6193	-0.3566	-0.7588	-1.4305	-0.0877	-1.3921	-9.9658	0.099	-0.9132	-1.3548	1.7575	0.1519	-0.8599	1.9377	0.1388	-0.6873	0.2522	0.3115	-0.2159	-9.9658	0.4016	-9.9658	0.6699	-1.9942	-0.9686	1.5013	2.128	1.2271	0.4761	1.7702	0.688	0.7579	1.6558	-2.114	1.7744	0.3907	1.7273	1.8918	-0.1345	1.0433	1.7009	3.0163	1.4174	1.0642	0.2277	0.5955	1.5709	1.2147	0.03	-1.4699	1.334	-1.7809	-1.0262	-0.5125	-0.3566	0.1776	1.5514	2.8974	0.5859	-0.5543	1.5563	0.9568	-0.7346	0.7748	1.7912	-0.2671	1.1706	-0.9132	0.7832	1.4808	2.1378	1.9302	0.0158	1.8201	0.5666	-0.1504	0.3231	1.7995	-0.2498	0.5568	-0.2498	1.7273	-0.6643	-0.3383	1.0007	0.9642	0.8246	0.8726	1.125	0.7748	0.9038	0.679	0.2522	0.679	0.6332	-3.6259	-2.1779	-0.4719	0.2881	-1.0262	0.679	0.0718	-1.6394	-0.0277	0.4016	-0.6193	0.099	0.6145	0.5859	0.688	0.1257	-1.9379	-0.1031	-1.8836	0.0854	-0.4719	0.2998	-0.0725	0.24	0.9642	0.8488	1.334	1.1184	0.7058	0.1903	1.3051
CD274-203	ENST00000474218.1	-1.6394	-1.3548	0.9268	-0.5125	-1.9379	-2.4659	-0.9686	-1.4305	-3.3076	-9.9658	-1.1488	-0.7108	-0.4921	-0.6416	-9.9658	-9.9658	-9.9658	-1.5951	-2.9324	-9.9658	-2.3147	-9.9658	-9.9658	-9.9658	-1.8836	-3.6259	-3.0469	-1.2828	-1.2142	-3.458	-9.9658	-9.9658	-2.3147	-2.6349	-2.114	-1.5951	-9.9658	-9.9658	-0.2498	-2.8262	-2.8262	-2.5479	-2.8262	-2.3884	-2.2447	-1.0262	-1.1811	-9.9658	-2.9324	-1.9942	-1.8836	-9.9658	-1.9379	-3.458	-1.5951	-1.7322	-2.7274	-2.3147	-9.9658	-9.9658	-9.9658	-1.7809	-1.5522	-9.9658	-2.4659	-9.9658	-2.114	-0.7346	-2.7274	-0.5543	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-1.3921	-1.9379	-0.1187	-9.9658	-2.8262	-9.9658	-9.9658	-0.8599	-1.7809	-1.9942	-9.9658	-1.5105	-3.458	-1.7322	-2.0529	-0.9971	-9.9658	-3.458	0.044	-9.9658	-9.9658	-3.0469	-2.3884	0.2881	-1.8836	-1.6394	-2.2447	-1.1488	0.6425	-2.6349	-0.4719	-2.8262	-0.9686	-1.7809	-9.9658	-9.9658	-9.9658	-1.9942	-2.5479	0.4016	-2.9324	-9.9658	1.5902	-0.2498	-2.7274	-2.4659	0.688	-1.3921	-0.7346	-9.9658	-9.9658	-2.4659	-0.1504	-2.5479	-2.9324	-0.9971	-2.5479	-1.4305	-2.4659	-0.4921	-2.3884	-9.9658	-1.4699	-2.7274	-9.9658	-9.9658	-0.0425	-0.7588	-9.9658	-1.5105	-0.4131	-1.6394	-1.2142	-2.7274	-1.9942	-9.9658	-1.9942	-3.3076	-3.3076	-9.9658	-9.9658	-0.9686	-1.685	-2.8262	-2.8262	-2.0529	-2.7274	-3.1714	-2.4659	-2.8262	-1.5522	-2.114	-2.9324	-9.9658	-2.1779	-9.9658	-9.9658	-9.9658	-9.9658	-2.4659	-2.7274	-2.8262	-9.9658	-2.4659	-0.5543	-9.9658	-9.9658	-0.7834
