transcript_id	gene_id	TCGA-AB-2927-03	TCGA-AB-2914-03	TCGA-AB-2954-03	TCGA-AB-2910-03	TCGA-AB-2867-03	TCGA-AB-2984-03	TCGA-AB-2870-03	TCGA-AB-2818-03	TCGA-AB-2824-03	TCGA-AB-3011-03	TCGA-AB-2866-03	TCGA-AB-3007-03	TCGA-AB-2825-03	TCGA-AB-3009-03	TCGA-AB-3002-03	TCGA-AB-2948-03	TCGA-AB-2862-03	TCGA-AB-2900-03	TCGA-AB-2971-03	TCGA-AB-2976-03	TCGA-AB-2985-03	TCGA-AB-2886-03	TCGA-AB-2931-03	TCGA-AB-2813-03	TCGA-AB-2956-03	TCGA-AB-2913-03	TCGA-AB-2830-03	TCGA-AB-2838-03	TCGA-AB-2933-03	TCGA-AB-2849-03	TCGA-AB-2855-03	TCGA-AB-2894-03	TCGA-AB-2986-03	TCGA-AB-2842-03	TCGA-AB-2820-03	TCGA-AB-2895-03	TCGA-AB-2996-03	TCGA-AB-2920-03	TCGA-AB-2955-03	TCGA-AB-2983-03	TCGA-AB-2816-03	TCGA-AB-2878-03	TCGA-AB-2819-03	TCGA-AB-2943-03	TCGA-AB-2959-03	TCGA-AB-2977-03	TCGA-AB-2919-03	TCGA-AB-2994-03	TCGA-AB-2938-03	TCGA-AB-2833-03	TCGA-AB-2912-03	TCGA-AB-2903-03	TCGA-AB-2908-03	TCGA-AB-2837-03	TCGA-AB-3008-03	TCGA-AB-2898-03	TCGA-AB-2932-03	TCGA-AB-2879-03	TCGA-AB-2979-03	TCGA-AB-2863-03	TCGA-AB-2877-03	TCGA-AB-2969-03	TCGA-AB-2844-03	TCGA-AB-2939-03	TCGA-AB-2937-03	TCGA-AB-2865-03	TCGA-AB-2881-03	TCGA-AB-2970-03	TCGA-AB-2851-03	TCGA-AB-2853-03	TCGA-AB-2839-03	TCGA-AB-2941-03	TCGA-AB-2964-03	TCGA-AB-2845-03	TCGA-AB-2952-03	TCGA-AB-2990-03	TCGA-AB-2896-03	TCGA-AB-2972-03	TCGA-AB-2999-03	TCGA-AB-2840-03	TCGA-AB-2966-03	TCGA-AB-2873-03	TCGA-AB-2899-03	TCGA-AB-2975-03	TCGA-AB-2930-03	TCGA-AB-2810-03	TCGA-AB-3006-03	TCGA-AB-2940-03	TCGA-AB-2889-03	TCGA-AB-2916-03	TCGA-AB-2832-03	TCGA-AB-2875-03	TCGA-AB-2884-03	TCGA-AB-2915-03	TCGA-AB-2924-03	TCGA-AB-2911-03	TCGA-AB-2918-03	TCGA-AB-2978-03	TCGA-AB-2885-03	TCGA-AB-2803-03	TCGA-AB-2811-03	TCGA-AB-2869-03	TCGA-AB-2897-03	TCGA-AB-2935-03	TCGA-AB-2963-03	TCGA-AB-2860-03	TCGA-AB-2815-03	TCGA-AB-2880-03	TCGA-AB-2944-03	TCGA-AB-3005-03	TCGA-AB-2949-03	TCGA-AB-2806-03	TCGA-AB-2843-03	TCGA-AB-2814-03	TCGA-AB-2936-03	TCGA-AB-3000-03	TCGA-AB-2836-03	TCGA-AB-2828-03	TCGA-AB-2965-03	TCGA-AB-2857-03	TCGA-AB-2929-03	TCGA-AB-2950-03	TCGA-AB-2928-03	TCGA-AB-2859-03	TCGA-AB-2861-03	TCGA-AB-2901-03	TCGA-AB-2993-03	TCGA-AB-2883-03	TCGA-AB-2854-03	TCGA-AB-2973-03	TCGA-AB-2835-03	TCGA-AB-2917-03	TCGA-AB-2872-03	TCGA-AB-2987-03	TCGA-AB-2812-03	TCGA-AB-2891-03	TCGA-AB-2823-03	TCGA-AB-3012-03	TCGA-AB-2805-03	TCGA-AB-2942-03	TCGA-AB-2817-03	TCGA-AB-2848-03	TCGA-AB-2841-03	TCGA-AB-2868-03	TCGA-AB-2998-03	TCGA-AB-2847-03	TCGA-AB-2981-03	TCGA-AB-2967-03	TCGA-AB-2882-03	TCGA-AB-2995-03	TCGA-AB-2821-03	TCGA-AB-2980-03	TCGA-AB-2946-03	TCGA-AB-2892-03	TCGA-AB-2904-03	TCGA-AB-2822-03	TCGA-AB-2934-03	TCGA-AB-2826-03	TCGA-AB-2871-03	TCGA-AB-2858-03	TCGA-AB-2808-03	TCGA-AB-2887-03	TCGA-AB-2991-03	TCGA-AB-2890-03	TCGA-AB-2925-03	TCGA-AB-2856-03	TCGA-AB-2846-03	TCGA-AB-2876-03	TCGA-AB-2921-03	TCGA-AB-2893-03	TCGA-AB-2988-03	TCGA-AB-2834-03	TCGA-AB-2874-03
ENST00000217169	BIRC7-201	-9.9658	-9.9658	-9.9658	-1.9942	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-1.4305	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-5.0116	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.7274	-9.9658	-2.3884	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.9686	-9.9658	-9.9658	-9.9658	-2.8262	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	2.2175	-9.9658	-9.9658	-9.9658	5.5799	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.6394	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.0262	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000342412	BIRC7-202	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.2934	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-4.6082	-4.6082	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.2934	-9.9658	-1.8836	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.8314	0.0014	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-5.0116	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-5.5735	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-5.0116	-5.0116	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-4.2934	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-4.2934	-9.9658	-9.9658	-2.2447	-9.9658	-9.9658	0.4125	-9.9658	-9.9658	-9.9658	4.0541	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-5.0116	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-2.3884	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.8262	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-5.0116	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000395306	BIRC7-203	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-5.5735	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.4131	-9.9658	-9.9658	-9.9658	0.7916	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000225831	CCL2-201	-0.4325	-9.9658	-3.1714	-0.1665	-2.3884	-4.035	1.2085	-3.458	-9.9658	-1.9379	-9.9658	-3.6259	-9.9658	2.1345	-0.7346	-2.9324	-3.458	-9.9658	-1.685	-0.5756	3.162	-9.9658	-2.2447	1.0363	-2.114	-2.6349	-1.0559	3.0944	-0.6416	0.8961	1.4652	-9.9658	-9.9658	-2.9324	-1.4305	-9.9658	-0.7588	-9.9658	-9.9658	0.8488	-9.9658	0.5069	0.517	-0.8863	-2.114	-9.9658	-3.6259	-9.9658	2.7889	1.3109	0.537	-2.1779	0.3231	-1.7322	-0.0425	0.688	-0.7588	-9.9658	-1.9379	-3.6259	-9.9658	-9.9658	-2.0529	-3.3076	-9.9658	1.7185	-1.3548	-0.2328	-9.9658	-9.9658	-1.7322	-9.9658	-1.3183	-0.8863	-1.5522	-9.9658	-1.5522	-9.9658	-2.9324	-1.4305	-9.9658	-1.4305	0.0014	-3.458	-3.3076	-9.9658	-3.458	-1.9379	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	1.5661	-2.3147	-0.394	0.058	-3.0469	-9.9658	-9.9658	-1.0862	0.4447	-9.9658	1.4228	-1.685	-9.9658	-9.9658	-1.5522	-9.9658	-3.816	-0.2328	-1.2481	-2.5479	-9.9658	-9.9658	-0.5332	-1.1811	2.5338	0.3346	-0.5973	-9.9658	-1.9379	-1.7322	-9.9658	-1.3921	-1.3921	2.0183	-1.8314	-0.2498	-0.5125	-1.4305	4.4337	-9.9658	-2.3884	-2.0529	-0.0574	-9.9658	-0.7346	-1.2481	-9.9658	-9.9658	-2.6349	-9.9658	-2.114	-3.6259	-9.9658	3.4224	-1.0862	0.8488	0.3907	0.7233	0.6332	-0.6643	1.5998	-0.6193	2.0707	-9.9658	-1.4305	-0.5973	-2.4659	-2.3884	-1.2481	-4.035	-2.8262	-9.9658	-0.1993	-3.1714	3.7982	-9.9658	-3.458	-9.9658
ENST00000580907	CCL2-202	-1.2142	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-3.0469	-9.9658	-2.2447	-9.9658	-9.9658	-9.9658	-3.1714	-1.4305	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-1.5951	-9.9658	-9.9658	-9.9658	0.5763	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.0469	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-2.114	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.3022	-3.6259	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-4.035	-1.5951	-9.9658	-1.7809	-9.9658	-9.9658	-2.2447	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-3.0469	-9.9658	-3.458	-1.6394	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-0.7108	-5.0116	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.2481	-3.3076	-2.3884	-0.4325	-9.9658	-9.9658	-3.6259	-2.3147	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.3884	0.679	-9.9658	-1.7322	-9.9658	-9.9658	-9.9658	-9.9658	-2.3147	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.7809	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658
ENST00000624362	CCL2-203	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-1.5522	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.0559	-9.9658	-9.9658	-3.6259	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.4659	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-4.2934	-2.3884	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-4.035	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-3.1714	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.7274	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.0559	-9.9658	-2.9324	-3.3076	-9.9658	-9.9658	-9.9658	-1.9379	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-4.035	-9.9658	-9.9658
ENST00000219235	CCL22-201	-2.9324	-9.9658	-9.9658	0.6145	-3.3076	-9.9658	-0.7346	-2.5479	-3.6259	-9.9658	-3.6259	-5.5735	-1.5105	-5.5735	-9.9658	-5.0116	-3.816	-1.8836	-3.1714	-5.0116	0.7832	-9.9658	-9.9658	-5.0116	1.3511	-5.5735	-9.9658	-9.9658	-3.1714	-9.9658	-5.5735	-1.9942	-9.9658	-1.685	-4.2934	-4.2934	-3.816	-4.6082	-5.5735	-5.5735	-1.9379	-4.6082	-9.9658	-9.9658	-5.5735	-5.0116	-5.5735	-9.9658	-1.3921	-4.2934	-2.0529	-9.9658	-6.5064	-2.7274	-4.2934	-4.2934	-1.9942	-9.9658	-6.5064	-9.9658	-9.9658	-1.3183	-5.5735	-9.9658	-9.9658	-2.7274	-5.0116	-1.5522	-0.6193	-5.0116	-9.9658	-9.9658	-4.2934	-0.2845	-2.4659	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-1.1172	-1.5951	-9.9658	-9.9658	-9.9658	-4.6082	-3.458	-4.2934	-9.9658	-9.9658	-5.5735	-1.5522	-9.9658	-4.035	-0.8599	-4.6082	-9.9658	-9.9658	-9.9658	-5.5735	-5.5735	-9.9658	-5.5735	-3.816	-3.1714	-2.7274	-3.0469	-9.9658	-0.2159	-6.5064	-9.9658	-1.3548	-9.9658	-3.816	-5.5735	-2.5479	-9.9658	-1.3921	-4.2934	-5.5735	-9.9658	-5.5735	-3.816	0.0158	-9.9658	-4.6082	-9.9658	-9.9658	-4.035	-2.0529	-9.9658	-9.9658	-4.6082	-4.6082	-3.3076	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-4.035	-9.9658	-9.9658	-5.5735	-3.6259	-5.0116	-0.9971	-1.5951	-9.9658	-4.6082	-9.9658	-6.5064	-9.9658	-9.9658	-5.5735	-9.9658	-2.114	-5.5735	-5.5735	-3.6259	-5.5735	-4.6082	-2.7274	-0.7834	-6.5064	-5.0116	-5.0116	-5.5735	-0.5543	-3.0469	-4.6082	-5.5735
ENST00000381573	CD274-201	-1.2142	-1.5105	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-2.2447	-9.9658	-9.9658	-2.5479	-2.1779	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-1.5522	-9.9658	-9.9658	-9.9658	-9.9658	-2.3147	-9.9658	-2.5479	-9.9658	-2.4659	-2.4659	-9.9658	-9.9658	-1.8836	-9.9658	-3.458	-9.9658	-9.9658	-0.8863	-2.114	-3.458	-3.0469	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-6.5064	-9.9658	-6.5064	-9.9658	-9.9658	-9.9658	-1.5951	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-5.5735	-5.5735	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.4305	-1.6394	-9.9658	-2.1779	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.5125	-2.7274	-9.9658	-9.9658	-0.6416	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-5.5735	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-2.1779	-6.5064	-1.4305	-9.9658	-9.9658	-9.9658	-2.7274	-2.2447	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-4.035	-3.6259	-0.5756	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-5.5735	-9.9658	-4.035	-1.3183	-2.3147	-9.9658	-1.1488	-9.9658	-9.9658	-9.9658	-9.9658	-3.3076	-2.7274	-2.0529	-9.9658	-2.9324	-2.114	-3.458	-9.9658	-2.4659	-2.0529	-6.5064	-9.9658	-9.9658	-9.9658	-3.0469	-9.9658	-1.3183	-2.3147	-5.0116	-3.0469	-3.1714	-3.816
ENST00000381577	CD274-202	-1.7322	-9.9658	0.6145	-4.2934	-3.0469	-9.9658	0.3907	-0.3022	-3.6259	-2.2447	-3.458	-1.8836	-0.8084	-2.1779	-5.5735	-1.1172	-2.9324	-0.5332	-0.6873	-1.0262	-0.7108	-1.6394	-2.7274	-1.2828	-1.9942	-1.7322	-0.8339	0.8082	-1.2828	-0.4521	-1.7809	-1.8314	-9.9658	-2.114	-1.0862	-1.1488	-0.1345	-3.0469	-0.2845	-1.1811	-9.9658	-0.8084	-3.0469	-0.4719	0.2277	-1.9379	-1.7322	-1.8314	3.3105	-2.114	-3.1714	-2.3147	-1.7809	-1.4699	-0.1993	-2.2447	-3.0469	-3.0469	-2.6349	-0.8863	-9.9658	-9.9658	-2.7274	-2.2447	-4.6082	1.8604	-1.0862	-0.3201	-1.7809	-2.9324	-2.1779	3.2632	-1.5522	-0.8084	-0.8084	-1.4699	-1.9379	-1.5105	-2.6349	-0.7108	-9.9658	-2.4659	-0.5543	-0.9686	-0.8599	-9.9658	0.0718	0.688	-1.1811	-0.0725	-9.9658	-1.1172	0.4016	1.3167	-2.9324	-1.4305	-1.8836	-1.4699	-1.1172	-9.9658	-3.0469	-0.6193	-9.9658	0.547	-1.5951	0.4865	-0.3752	-2.3884	-0.3022	-2.1779	-1.6394	-9.9658	-0.5973	-0.013	-0.0725	-0.6643	-0.6873	-9.9658	-2.7274	1.4441	0.2762	-2.8262	-0.3566	1.0079	-2.9324	1.8957	-2.3884	-9.9658	-2.8262	-9.9658	-5.0116	1.0007	-3.1714	-0.3752	-9.9658	-0.7588	-2.7274	-2.6349	-1.5951	-0.6643	-0.7346	-1.2142	-9.9658	-0.1031	-1.4305	-0.3201	1.0433	-0.8863	1.5514	1.0363	-1.0862	-2.1779	-0.1345	-9.9658	-0.5125	-2.0529	0.7664	-9.9658	0.0718	-2.8262	-9.9658	-0.5125	-3.0469	0.537	-4.2934	-9.9658	-1.7809	-9.9658	-2.2447	-9.9658	-1.7322	-9.9658	-2.3147
ENST00000474218	CD274-203	-2.3147	-9.9658	-0.9686	-3.6259	-9.9658	-9.9658	-1.4699	-6.5064	-9.9658	-4.2934	-4.6082	-6.5064	-1.6394	-1.3548	-9.9658	-2.2447	-9.9658	-9.9658	-9.9658	-1.2481	-9.9658	-9.9658	-9.9658	-2.0529	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-1.8836	-2.7274	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.0862	0.0158	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	0.1648	-0.2498	-9.9658	-9.9658	-1.1811	-2.6349	-9.9658	-1.3548	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-6.5064	-9.9658	-9.9658	-0.9971	-1.7809	-2.5479	-9.9658	-2.114	-9.9658	1.6512	-9.9658	-2.8262	-4.6082	-9.9658	-2.0529	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.6643	-1.9942	-9.9658	-2.2447	-9.9658	-1.6394	-9.9658	0.3573	-9.9658	-1.9942	-9.9658	-9.9658	-3.0469	-2.2447	-1.2828	-1.6394	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.8339	-2.5479	-9.9658	-0.8339	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.4699	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.5756	-9.9658	-2.5479	-1.5105	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-1.1488	-9.9658	-9.9658	-9.9658	-0.3566	-9.9658	-2.6349	-9.9658	-9.9658	-5.0116	-9.9658	-3.3076	-1.5951	-9.9658	-9.9658	-0.0877	-9.9658	-1.0262	-2.3884	-9.9658	-2.114	-9.9658	-1.5951	-9.9658	1.0847	-9.9658	-9.9658	-9.9658	-9.9658	-1.9379	-9.9658	-2.2447	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658
ENST00000492923	CD274-204	-3.0469	-9.9658	-1.1488	-9.9658	-9.9658	-9.9658	0.1519	-0.6193	-9.9658	-9.9658	-9.9658	-3.1714	-0.9971	-9.9658	-2.5479	-3.3076	-9.9658	-2.4659	-9.9658	-9.9658	-9.9658	-1.9379	-3.1714	-9.9658	-9.9658	-9.9658	-3.0469	-0.6643	-9.9658	-2.6349	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.5973	-9.9658	-9.9658	-3.0469	-9.9658	-9.9658	-9.9658	-1.2828	-0.0574	-9.9658	-9.9658	-9.9658	0.7146	-9.9658	-3.0469	-9.9658	-3.816	-2.4659	-3.1714	-9.9658	-9.9658	-2.2447	-9.9658	-9.9658	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	0.6517	-3.3076	-1.5105	-9.9658	-9.9658	-9.9658	1.2455	-9.9658	-9.9658	-0.8084	-9.9658	-9.9658	-9.9658	-2.1779	-3.0469	-0.7108	-9.9658	-2.6349	-3.0469	-2.3884	-9.9658	-1.9942	-1.5951	-2.9324	-9.9658	-3.0469	-2.5479	-2.7274	-1.2481	-2.9324	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-5.5735	-9.9658	-9.9658	-0.4921	-9.9658	-2.7274	-9.9658	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.9406	-0.3022	-9.9658	-1.7322	-1.1811	-2.2447	-0.5125	-0.9406	-3.1714	-2.7274	-0.8599	-9.9658	0.2154	-9.9658	-9.9658	-9.9658	-1.9942	-9.9658	-2.5479	-3.3076	-9.9658	-3.3076	-9.9658	-3.3076	-3.3076	-9.9658	-1.1488	-9.9658	-2.3147	-9.9658	-0.7346	-1.7322	-9.9658	-2.9324	-9.9658	0.679	0.1519	-2.7274	-9.9658	-1.5522	-9.9658	-0.4719	-3.3076	-0.3383	-9.9658	-1.7322	-3.3076	-3.1714	-2.8262	-2.9324	-1.3921	-4.6082	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-9.9658	-9.9658
