genes	TCGA-BF-A1PU-01	TCGA-BF-A1PV-01	TCGA-BF-A1PX-01	TCGA-BF-A1PZ-01	TCGA-BF-A1Q0-01	TCGA-BF-A3DJ-01	TCGA-BF-A3DL-01	TCGA-BF-A3DM-01	TCGA-BF-A3DN-01	TCGA-BF-A5EO-01	TCGA-BF-A5EP-01	TCGA-BF-A5EQ-01	TCGA-BF-A5ER-01	TCGA-BF-A5ES-01	TCGA-BF-A9VF-01	TCGA-BF-AAOU-01	TCGA-BF-AAOX-01	TCGA-BF-AAP1-01	TCGA-BF-AAP2-01	TCGA-BF-AAP4-01	TCGA-BF-AAP6-01	TCGA-BF-AAP7-01	TCGA-BF-AAP8-01	TCGA-D3-A5GT-01	TCGA-D9-A3Z4-01	TCGA-D9-A4Z3-01	TCGA-D9-A4Z5-01	TCGA-DA-A960-01	TCGA-EB-A1NK-01	TCGA-EB-A24C-01	TCGA-EB-A24D-01	TCGA-EB-A299-01	TCGA-EB-A3HV-01	TCGA-EB-A3XB-01	TCGA-EB-A3XC-01	TCGA-EB-A3XD-01	TCGA-EB-A3XE-01	TCGA-EB-A3XF-01	TCGA-EB-A3Y6-01	TCGA-EB-A3Y7-01	TCGA-EB-A41A-01	TCGA-EB-A41B-01	TCGA-EB-A42Y-01	TCGA-EB-A42Z-01	TCGA-EB-A430-01	TCGA-EB-A431-01	TCGA-EB-A44N-01	TCGA-EB-A44O-01	TCGA-EB-A44P-01	TCGA-EB-A4IQ-01	TCGA-EB-A4IS-01	TCGA-EB-A4OY-01	TCGA-EB-A4OZ-01	TCGA-EB-A4P0-01	TCGA-EB-A4XL-01	TCGA-EB-A51B-01	TCGA-EB-A550-01	TCGA-EB-A551-01	TCGA-EB-A553-01	TCGA-EB-A57M-01	TCGA-EB-A5FP-01	TCGA-EB-A5SE-01	TCGA-EB-A5SF-01	TCGA-EB-A5UM-01	TCGA-EB-A5VU-01	TCGA-EB-A6QY-01	TCGA-EB-A6QZ-01	TCGA-EB-A6R0-01	TCGA-EB-A82B-01	TCGA-EB-A82C-01	TCGA-EB-A85I-01	TCGA-EB-A85J-01	TCGA-EB-A97M-01	TCGA-ER-A194-01	TCGA-ER-A196-01	TCGA-ER-A19K-01	TCGA-ER-A19T-01	TCGA-ER-A2NB-01	TCGA-ER-A2NF-01	TCGA-ER-A42H-01	TCGA-FR-A2OS-01	TCGA-FR-A3R1-01	TCGA-FR-A726-01	TCGA-FR-A728-01	TCGA-FS-A1ZN-01	TCGA-FW-A5DX-01	TCGA-GF-A2C7-01	TCGA-GF-A769-01	TCGA-GN-A263-01	TCGA-GN-A26C-01	TCGA-GN-A4U5-01	TCGA-GN-A8LN-01	TCGA-HR-A5NC-01	TCGA-IH-A3EA-01	TCGA-WE-A8K4-01	TCGA-XV-A9VZ-01	TCGA-XV-A9W2-01	TCGA-XV-A9W5-01	TCGA-XV-AAZV-01	TCGA-XV-AAZW-01	TCGA-XV-AAZY-01	TCGA-YG-AA3N-01
ARG1	-4.700727576502003	-1.9362057645752602	-3.4261680400667114	-3.8025276887401063	-3.2588050894316307	-0.8448707334837069	-6.249548096845395	-2.0871145053336226	-1.2073453492068404	-5.343336107761049	-6.7570703733831525	-4.484915767507697	-5.617829489423891	-2.404785968993467	-5.795194029710249	-4.98232635161253	-5.722149029070126	-5.624042588044709	-3.0160507372465375	-8.414499873173602	-6.8981170680044945	-5.8812026571812055	-3.6781053459782598	-4.835318882794818	-4.842659426085959	-4.15066313372402	-5.598225429686359	-6.26617761631412	2.025236782185484	-3.7003801847864626	-0.7014175290780758	0.6245357601243047	1.8874308451113233	-2.452988350755577	-1.0173596545417425	-1.6201255028712875	-1.6969123166062996	-3.1654621351728496	-2.32422655718232	-1.6902192565210452	-3.2854202125288916	3.0750065898228165	-5.899631687308137	-5.380403128606585	-3.0617996071431133	1.0938280308513644	2.6054358032619698	-4.352188643360942	-0.9417993273209904	3.120165580378444	-5.9036550632402935	-4.186950109684899	-3.656669321799475	-0.4624741384088118	-2.8246706551013583	-4.739869370144477	-1.4537172807348515	-7.280368651895592	-4.250040011646007	-0.4106468355802386	3.882191505955989	-6.096292156269335	-1.9472623319023237	0.08505477839770492	3.035655972947268	1.3419661921664359	-5.451153136119699	-2.4060116026397216	-4.378088240731024	-2.765410646787962	-6.899167203063996	-5.611612811625262	-7.096068833240077	-6.468862855207938	-4.547349235547987	0.8437603014181256	-4.114132292254174	1.358691614178051	-1.8180652644260826	-1.2269209510582675	-2.1132600130275865	-7.064077279629445	-6.351541005405736	0.5491521192290048	-3.7253963962112	-3.978171097656185	-2.3421673796137084	-0.750084133976257	-4.009672798043237	-6.8816054679843885	-5.669760140826125	-4.54994705355022	4.915598665870657	-6.046526793988782	-2.5296131448232515	-2.7922997864810624	1.6549455864229525	-3.143193922501778	-1.0782233679665287	3.171216332399011	-3.9280750276577354	-2.350981838601556
ARG2	1.0903767828243787	2.4141146395036657	0.9168435326960456	2.34046688126341	1.6904045425649343	2.2958987856199045	0.451178722909475	3.0771249466501587	2.8924468263793557	2.6163924423812475	2.323922116825642	0.44211256334804006	-0.29275393794085147	1.5450272233241122	2.405704664757252	1.1333566212821289	2.41112349678108	0.49865238038014326	2.0226803652383367	1.003921313816143	3.230604772013244	1.083878933526357	0.9543139566554828	1.147421903525057	1.472245199252093	2.3537305656164875	1.937702377056823	0.3006661998670026	2.0474833965722894	1.2511239336454238	1.3459540465975053	2.4095384293567292	2.6600532490247915	2.3528051228672027	2.4511891668835872	2.3235366006521687	1.309505396657876	2.7421459511235895	1.971989928956127	0.7479546086140658	1.4547317268847877	1.6792953251591385	2.7647392108885924	1.5217852152993814	0.7903528428649977	3.4326836697659147	1.3169300416188534	1.2241622665480776	4.192533122538755	2.555513287557865	-0.32953138642141866	1.0706252999123436	0.7547540580805929	2.724881888892419	0.8526282655568949	2.079278256878169	2.710352848990297	1.1958977914831195	-0.8486818071590818	2.4069414447525546	3.2474123093635043	2.2766820746642864	0.07054194000122749	-0.4163769421658614	2.9238434359389203	0.38708092826548324	2.7054197815755643	2.627334186533993	1.7471270992570602	2.049818592733409	0.8824046468197224	0.9019231598698667	1.486284732629791	1.482664457172831	3.0452490743931193	1.5230042005934905	-0.8830903184747427	2.325385444999146	0.45568667085061065	1.5950233043946014	3.0942252689576435	1.3874832712299465	3.260515702629178	1.5068454285103812	4.224881606588575	2.7119305914494234	2.2196879468069	2.6983512922809467	1.8884285572710127	2.4229109969396134	2.113410013173869	2.3730704815217933	3.9383315348818826	1.707924462307986	0.8502763641862856	1.1935120868075586	2.044199572059334	3.3538694581665	1.7975258042187292	2.994072965653075	0.9936371595806577	1.318178636204479
BIRC7	6.131957848172732	3.6372381772169065	6.118313706958012	4.400287534388337	4.790418442643535	6.19724935851188	5.813507976710509	5.586968759349955	4.236255062101243	5.932146152027169	6.551596380562732	4.539908503794414	6.303295477702254	5.856693595099514	6.03423023982146	4.243447697188122	5.7415796210267285	4.4248810455615395	4.794004236120455	4.437388171932784	5.906973538177246	4.989245525165965	7.727680852953953	5.305377377745965	4.76184980818766	6.264960898726896	4.4907710514215715	5.677708614983183	6.460643835671325	5.5679990657169824	4.3827474671755855	6.658209863872928	6.725679073299996	6.15643107185329	5.819781944591244	4.480269954310359	6.24659561663949	3.9283227130514007	3.3618718153632496	4.6259082151924895	5.120121384518884	7.834772732289809	5.202008899776953	5.364087513477841	6.2394444705255925	5.415989933470866	6.072170022395916	6.529595265063153	4.89156335297182	6.149808671034655	6.230964518476187	7.152066051920723	6.43153839356464	5.476374258038854	6.229884326593477	3.012672806536613	7.032096768664518	2.2822500769870007	5.411983319888995	5.190979563758327	5.150002532320026	5.036893482609691	5.845182312799963	6.880088698727045	5.396895459490944	7.4646329740967925	5.560264875342641	4.369762571982582	4.315652054730493	6.402569939485021	7.765034602413529	5.749648053548389	3.746999553513577	6.472118002584904	4.172182470517781	1.7954931448059652	6.0149011827488215	5.172600522006994	5.2127145880491526	5.200794298319493	3.204050007022591	2.8227009046464486	5.522722620032036	5.9360359057347285	3.6679202661937094	3.576462132689593	5.331436339243365	6.869478927110135	4.802866963327583	4.18393551820476	3.9952305135478206	5.8019293778868954	5.720884130643779	4.521014055825325	6.720846045257111	4.698765149221487	4.166910098331801	3.0819837652694524	7.1490826034597745	5.66788538090762	5.9874430369372655	6.564716317466985
CCL2	2.7455963982420357	3.6946499237958896	6.137320324650641	4.888859861285159	5.098735489791338	6.5536383425899025	3.4596996369740225	5.9564772224086795	4.71891764174342	5.306202917723542	3.3786673859756	5.18083742867648	3.4948164054015827	4.113988668308149	3.1480048313397866	6.032080241195075	4.899016577928965	3.964080557689247	4.956274205553015	5.385048327407727	4.127347701518094	5.307718171920328	3.454998489033464	3.3824616258019056	5.133997896449642	4.715404946262954	5.959529581707379	4.2506362951709065	3.812695842858968	4.032021316174919	4.02797470281687	4.459811373665932	5.18331062532523	5.767957467730387	5.619974981250486	4.811267585151395	4.322003956640039	7.503475711872465	4.307904105634421	3.700846182427977	5.305080115759601	4.292395474056228	5.233382366400967	4.484199040195048	4.244601964835439	4.934928063072185	5.131915520134765	3.320444737962699	6.252839696817194	3.8582514962330627	5.630458534417951	4.337039981192579	4.762638621783648	5.0111519264316655	5.312489724873256	6.595932553034615	4.412172218168784	5.825143469055607	4.827672330121938	6.148782683752774	3.0474349235176454	4.1427872615213595	3.8465501222181295	3.0591127151553295	7.494540140601298	2.6823799841452107	5.001734352319232	5.279770774423678	6.095920786868152	4.237810625985684	4.772148289244477	5.294167667669459	6.0153648040186205	5.228772577977491	4.449356358222598	3.964703403042872	1.9285380714953817	4.575251733408162	4.297844683736322	1.1251067076484098	6.70874616514687	5.6613075448587225	6.5913414231106735	6.009650827011384	5.344783916359592	3.662273399346933	4.463561655578271	3.208062707113754	5.7145934277457755	5.964203533017347	5.527382955572332	5.121580456375767	4.530118878400625	6.197468433200282	3.601778152613381	3.69269810641941	5.145134865105671	5.942511675537055	5.24687212863142	3.457935389173585	3.59219032005689	4.433436590011851
CCL22	-5.805658519397741	0.4732628108205459	0.5507364288127361	-2.1193250997231905	-0.13821408852029915	-0.3203339115472117	-0.589948236131403	-0.9841472497723922	-0.7259366650632533	0.2083256809374685	-2.55980847201758	0.15702707477410005	-1.056497285980683	-0.41347154099625794	-3.9789520133611873	0.6211410495758507	-0.736933624224374	-3.3369919511182564	-0.18140709288117574	-0.26390251899232453	-1.5288913215130915	2.7746261987093845e-4	-4.3362110940867895	-3.991310297830756	0.7085252506818067	-2.5572125669623142	-1.0290755600026165	-3.828274149550663	-0.7454376161107117	-4.332726010293072	-1.190506437489506	1.470900609192725	-1.8008222456983756	-0.8041167982229185	-1.1614921652940975	0.8587638544890916	-0.24029793475329075	-1.6643247960441316	-2.050830571695763	-0.6562686398096798	-0.7208648221362521	-1.4895170387147871	-2.243001652412456	-1.4634160798556444	-0.2473492118530709	-0.2187888142128971	0.4864209070099186	-2.0330236084104003	-0.43261423829302625	0.16908562058967647	-0.28955168763814854	-0.17876705007304494	-0.49604313193840976	-2.7682039393824613	0.3134257326471417	-0.34451662928346316	-0.25760451123453176	-0.04865296472050851	-0.3872316714304542	1.872688606240331	-2.3302927681905654	-1.9883217405659854	0.4786836889185331	-0.7719831674699442	-1.7283962904749774	-0.6351878782265299	-3.2310712549943554	-2.602112985981721	1.822226697335085	-1.524988387109925	-0.7774600161846976	-0.35794792472957404	-1.5626369388839265	-0.25478220041205724	1.9187696160449992	1.3270010341906247	-9.797312025800325	2.044277496857762	1.0889195663108673	-6.205087691333426	2.640131818183282	-0.9419101194868382	-0.5503783022505173	0.4593013337433298	-0.47556889856768425	-3.865810306614396	-1.136909858597555	-3.1352828776673105	-1.1389406342952686	-0.6061749048408593	-0.5627707177222039	-0.402152648089416	0.03926458731675897	0.5360262480923126	-1.8000225313710514	1.1973968067200857	0.26047450005434847	-1.2923248901089588	1.1506537530825112	-2.0178544398687865	0.37663538295042276	-0.03778769167917062
CD274	-1.3035009267583817	-0.6323852888424177	1.07319719045395	1.1910278313694924	0.8490518329860137	0.8136412916682367	-0.15485035497303556	0.9771071850654849	-0.08674393151307669	0.1613203425305727	1.0215597042146776	1.0438437414197494	-1.5051006657058856	-0.06902018105754237	0.466997413064302	0.9458125202419829	0.3648094124121357	-1.8145171479289708	0.09825664683124202	2.2042984699617065	0.2939352604562693	0.7067736167786443	-0.4625619430778052	-1.6487482147357326	0.6778235882921813	-0.49423564429894995	1.0790400595132397	-0.911906429381883	1.237457530987193	-2.4108813119293924	0.35793979071037185	0.5277578226260147	-0.34468423315689733	0.7918580784230222	0.3014783427481369	0.03851566782514482	-0.07527075763637825	1.4974547025955047	1.2378799325778154	-0.6070739072701237	-0.6225811793992193	0.28777881815964435	0.9232938490953622	-0.3865676848393278	1.3008117099262293	1.3898360965118428	0.17297726660339663	1.2553721759173904	0.7921904989313084	-0.13043531420761312	0.7792587931479087	0.2071114508594576	1.3769247086400185	0.15940065152122784	0.6431534580170819	1.5612391006529371	1.1301506284758993	3.580537381700374	-0.8563144242667136	0.15331816628085093	0.17493582961310494	0.14811145037360163	-2.214686592837527	-0.2161969368281369	-0.16602918378474385	0.5806128426218109	-1.1328138026082186	2.2528550821608846	0.9058495061878915	0.42783664269538235	1.7056934546053704	1.433283194443021	2.2050543824634126	0.4649858691837174	0.6739894938331297	1.4584426304817626	-2.7952312444352074	0.5278673485294689	-0.02349402887040597	-2.7699146463453808	-0.2014904588785562	1.8525000607743252	0.33006948258434576	0.13672685282496033	0.2807728011975641	-0.00717019217608339	-1.4330697862117567	0.26541941356186527	2.162962883599537	3.630310981478477	2.192781281096149	-0.13447299117554223	-0.598331162881486	0.3984504386561589	1.7599553435514217	-2.5418067325074674	0.7590178559186498	3.0380172452717744	1.1360519135700429	-0.25526567223645813	-0.3200817871571644	1.1775877484428143
IDO1	-2.8785106897354065	0.906401286467593	3.359238077794285	2.6301310235471145	2.3322237976097666	1.0041417550811498	-0.567304891278178	1.8785048399221513	-0.8025247465853127	0.43788746232485654	-1.4027778671175408	3.3949552208700067	-2.4099386767801967	0.7726249216881778	-1.9556768154417088	2.4252643827071383	-0.2822411493395487	-2.332270574799296	0.650795383116888	5.310081659170848	-2.65964383980861	2.8975335833517013	0.04577596646846027	-1.5340878521924268	2.2097882410494387	0.3060947084430339	0.66858582994236615	-1.2279343032816978	1.2715595327970166	-3.037880827552612	2.5320461884062166	2.7368709053759788	0.9737437205052628	0.9317826105134528	1.1408570536770735	0.8087376616714264	0.8598879977993947	2.7965367865863024	3.135494802073331	-2.512763876019326	-0.2524682957104414	1.4928546137147123	0.3888153515209196	0.5231146090244616	2.55343783971163	0.06650231936315532	0.7273017579132173	1.057336503879787	1.163469907679349	-0.5604796788657533	3.4874294570400823	0.49082269970667447	3.760719459472855	0.8708736984138725	1.5601277788349734	3.1913178626565153	-0.28097375041356853	5.145938208588111	0.12476846144287368	2.6937749439549705	-1.3356923244155117	-0.18517895773353255	-2.9056175118586833	2.095341064992163	1.0874134320739706	0.778866672226084	-2.5707473608305147	4.306812689172143	2.4323843403782734	-0.3899772481427597	2.7619740449378636	3.2149707616955316	3.8197887757944926	1.7292126803985983	-0.06666562776239449	3.575182464719845	-2.0122080280426498	2.3032747992745337	2.411050039526583	-2.1186496550387592	0.914017311055956	3.6650484689522163	-0.18741824353205327	3.548652778685254	-0.3461942479908422	-0.3615820847360993	-2.2342827594227845	-1.7875189293786287	3.7567683380351298	5.3721431706007765	4.525181958850009	0.09954772238317	-2.052432437885123	-0.22658861520580276	4.676628572022625	-1.2831778774916418	1.526588881819377	4.045339453080699	3.3638220136736448	-2.875512586377496	0.7983308538609002	3.6334301706784906
IL10	-4.233144645116014	-1.3465153394134	-1.4435206899558297	-0.3527254947423071	-1.49713352478053	0.2181845829055713	-2.8160165684023175	0.394261926114995	-2.2266106888975576	-1.3444355979820157	-2.0426593718717685	-1.2397786930520127	-4.014890926594938	-1.4950906801731472	-2.99038354442643	-1.0896691320192495	-1.1974998103379064	-2.5583805604905687	-1.5054749287476055	-0.7552572408368173	-2.1146194407791103	-2.160035881844745	-2.2583917882048765	-4.16147935013819	-1.0298578707528405	-1.2389510187125041	-1.5302457565635308	-4.55824370490523	-1.1079904479598923	-4.295212217395732	-1.3288015101094801	-0.47226663024165316	-9.044281149853117e-4	-1.7889424003613243	-0.8319547793157902	-1.8968237751421877	-2.5112437495998052	0.37764613268411745	-1.5392329662885584	-3.695856178129191	-2.6691103148070665	-1.5837139506004838	-1.5578723997071386	-2.4431643253141146	-2.008677243325224	-1.154487054087412	-2.2874788630958958	-2.2739353133383964	-1.0196541795346248	-1.7996300345761278	-1.6861088127224375	-2.462735827796433	-1.4268960950318976	-1.8128779951312943	-1.92512132561759	-1.5571800977310875	-1.1100608761994744	-0.17019974205049168	-3.3910175267487612	0.3627893534261559	-2.00895164596058	-2.031112310404019	-4.256194804210702	-2.920581271814298	0.01575736041859141	-2.014880232733137	-3.274102379882924	0.14176483724698014	-1.2343486202305487	-1.6387923711071355	-1.2252519806382978	-1.9388974107858716	-1.2508321455332743	-1.7294679404098812	-1.17120869379315	-1.011938990664446	-3.4458873370465555	-1.486585656691057	-1.1184053885069962	-3.4012313612168774	-1.011613518650302	-1.4326101275200953	-0.9749133459061543	-0.6336147819551259	-1.3660418757365718	-2.021610453151051	-2.8047390384055872	-2.2830803660577774	0.7227960826049233	0.3847687854373193	0.12379670883864852	-1.4898085566247516	-0.9687459361261057	-2.063542688483088	-0.5361712569677042	-3.465791690673568	-1.1888601481339032	0.4489944998810482	0.17497223678944177	-2.3487746955067776	-1.8889422298770424	-0.796237945126415
LGALS3	9.86135995313527	9.172526082647991	8.871716994829187	9.902408252354052	9.682230735578628	8.586635366772711	9.715760269750593	9.920492335388367	9.146626006059588	8.445837903161063	9.439302216140742	9.037987744708786	9.32749156980617	9.669669845714663	9.17586906119157	8.648266402943065	8.796775590106325	7.533893820227285	9.95317449030141	10.7202922419849	9.51839854083261	10.208050092777576	8.103434173201059	8.74126045918678	9.479491838908189	8.477822194013454	9.886704801765394	8.705365989449241	9.447647867714721	8.675276517304821	8.771891708678627	9.988103948784628	8.741872198015082	9.41181568895507	9.51421864012616	9.091374057214878	9.527829826487444	10.331913409230506	10.663726180976722	9.277994103532837	9.17188303613886	8.861630837609757	9.68832424232357	9.573768306560565	10.229822434752249	10.30716752933023	9.074477523657455	9.913787631620108	10.381956569925713	9.613287927176533	8.323047976271411	9.470642788435576	9.82509196693097	9.96013673465959	9.663732761711596	10.569670208650443	9.316501882033421	8.730057295002435	7.5376485601609975	7.992246482929414	9.817318947612858	9.458393007319945	8.912509436893881	10.106254835198541	9.851565351497268	8.777388677557155	9.510706282017022	9.950369332257921	8.401239434572759	9.590365332607938	8.679088440098699	9.615041128020785	9.584338420683974	8.998713824551153	9.46834678107239	10.744430284326558	8.658593976094386	9.204380588376367	7.533096592271068	8.492308380724715	9.610684064508558	10.005918759055566	9.445688727497146	10.016244461406853	9.861213586714115	6.945245152558136	8.861967300163037	9.339545133925762	10.677180929420182	9.436071114465829	9.152933436081202	8.431370965634393	9.302848285628794	9.335875161269863	9.550036439678282	8.519147772781388	9.108804953176882	9.5793258211432	8.787858752616376	9.33203557731919	9.266723331929814	9.141439403431416
LRRC32	2.6062884327059708	2.8478674223877753	3.8619552645740898	2.2381254855335078	2.9623676332145106	4.010306073602724	3.598971735290312	4.154000573635304	2.4048210273311135	3.34544119273621	3.0065339914415565	2.9657538529211225	2.6748729725629143	3.198528907650015	3.217027983200503	3.27005189000017	3.0764651403933287	2.645126647227235	3.2385322131297114	2.613775736078556	3.2962918345998524	3.104249349576797	3.479594073740567	2.840555936620169	2.987498519916705	2.7867560222909544	3.401686401134411	2.5346055375047865	3.2441506085575593	2.9286478754692364	2.2332448886563574	3.3762331892244557	4.833124063081248	3.3000822041601925	3.815868642749062	2.9330509978566672	3.790444952661871	3.2055821830774205	2.2390637211679563	2.936839843930181	3.285746909906697	3.9794071961222404	2.827914778656875	2.8469287105884984	2.569397769268164	3.147591919880397	3.3142813675341314	2.8508581592096265	3.2637863670724094	2.94629684856118	3.0481171660411617	3.485506432114075	4.0141669856188855	3.195942540976798	2.633319663711135	2.164998402330516	3.425763224183423	2.255187788516733	3.265877210230971	3.290158274080155	2.7414272131341217	2.4804939065085856	3.275203771526863	2.246084196550007	3.544352091125769	3.8042289994179086	2.6831886381370467	2.181452346174991	3.4990407148586726	2.558094297624649	2.8554652736821575	3.141627113490819	2.1805785057733296	3.8736036633797166	3.853599534695161	3.3747007125720003	3.054304781687252	3.1190448328363027	3.183590634247194	4.213890868011168	3.1930833046685985	2.1090344246393427	2.7500000320229603	3.5780243891306043	3.0272697171142777	2.359671878906804	3.1338145525001986	3.906051597106745	4.278182869635003	3.6912866535614564	1.979444256763812	3.1482120596976593	4.391012618300531	3.6329928255058688	2.4509493787282395	3.5224486531282535	2.598581077395166	3.664117763444497	4.347234902488068	3.950372947519816	3.0770324284284705	3.1187768376829474
