genes	TCGA-FA-8693-01	TCGA-FA-A4BB-01	TCGA-FA-A4XK-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-FA-A7DS-01	TCGA-FA-A7Q1-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-FF-A7CQ-01	TCGA-FF-A7CR-01	TCGA-FF-A7CW-01	TCGA-FF-A7CX-01	TCGA-G8-6324-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6907-01	TCGA-G8-6909-01	TCGA-G8-6914-01	TCGA-GR-7351-01	TCGA-GR-7353-01	TCGA-GR-A4D4-01	TCGA-GR-A4D5-01	TCGA-GR-A4D6-01	TCGA-GR-A4D9-01	TCGA-GS-A9TQ-01	TCGA-GS-A9TT-01	TCGA-GS-A9TU-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TY-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U3-01	TCGA-GS-A9U4-01	TCGA-RQ-A68N-01	TCGA-RQ-A6JB-01	TCGA-RQ-AAAT-01	TCGA-VB-A8QN-01
LRRC32	2.6144533951358824	4.803164084119075	3.3493970497616914	2.4575545977229254	3.013743684626874	4.607108018811033	4.514136423475179	4.7191047527621635	1.39070450986938	2.9724007829740344	3.303167582308589	5.911617499887768	2.7852686013596326	5.260391601045484	4.094096502847464	5.110884962009237	5.194577155986295	1.2718449268311645	2.1168804464713276	5.353227869224895	3.9039215378253402	3.589538172459129	4.102541288819559	4.935539457237681	3.826204382261267	3.424381757327154	4.566728494702858	4.671732998762209	5.468736198763722	5.55792074680825	4.81612931006309	4.895128651933803	4.211584688459212	4.5136239785067005	3.4163694391228603	4.329474735883565	1.6210451455304238	3.676937030741513	2.7906472896603844	3.4790354247920874	1.8210329497146631	3.791611485251252	3.7911581866664505	2.56434249659182	4.605042089723369	7.1386115729489035	3.4933560422128096
SIGLEC15	2.168177159242667	2.9990847922518924	3.612255146927705	-0.16300366865508664	2.9422846077318248	-1.3470556096285655	0.597568190982944	-2.3761098194070485	1.4216053653971592	1.8028043255568917	2.4216903867109636	-1.0800064156624565	1.1909090959096567	0.5408517178711207	1.1637073300179743	1.5231565089994419	-1.7805236927521015	-1.6033267332269538	1.6869050195036799	1.6804856640883088	0.5175687156281015	4.864144370205004	0.6326083741916442	1.8109147600168534	0.13602331979400972	2.303910279281414	1.5108135160404004	3.951421229931885	-3.5491065880154693	2.2706090087152155	1.2179904613037387	0.12996899911990667	2.073295329999006	0.1688334669642586	2.5359896320195467	2.371598171155913	1.889402943416897	2.204484404171904	1.6622915964543843	1.015039219838691	3.901952807495441	0.89429665508165	1.55261317904721	2.078586382435347	0.8890972584391257	-5.03632581760748	0.9462189530155563
TDO2	1.1731607112272116	2.365248494484046	3.565008481414761	0.888361701676665	1.331368853352238	1.2730583268668845	1.1849754032944766	3.0820301776196857	1.9709377732135884	1.4906661480651486	1.2787380868808107	1.6987968448911204	-0.9341420783432248	1.0122027704622312	0.5833737718200496	1.3046914299812435	1.3965215229760979	1.8273009627753645	-0.025059915117871867	2.4186951416879126	0.7797089558405688	2.0953339319281845	1.5829391739329104	2.4707087072341807	-0.4507087084773751	1.3886826669379886	1.996449179236489	-0.12819789947527482	0.07423637504536273	1.9952048570055076	2.2182132587695804	1.485980066732754	1.7618820558489539	0.8273938187109842	2.310537077133837	2.0364821857508986	3.918905337947198	4.046140858859108	-0.26932547943554397	0.3511570871466674	2.1485974420038367	0.964990896111324	3.741709921874257	2.36405024570767	1.4524846282654025	-1.8719610002220861	1.68436975035765
BIRC7	2.077084622150932	0.239261691897094	0.8379739751667776	2.158788760917347	1.1702459230901405	1.205614019052009	-0.02667444343480216	-0.6015600281992332	1.2058158034338406	0.9618419692189702	0.7722273792062856	0.37855329766304824	0.6081803183123488	0.1905941574417977	0.44324848674176043	0.3662372746330932	-0.5297839134087161	1.2477671751733348	1.403866961154176	1.42087980084392	0.4822075368116425	4.344805432714044	2.966167046866384	1.8922408013488061	1.2091560028840094	1.3854525479994182	1.6912553521648959	2.8673875592556675	0.3659922574636608	0.7610621012778356	0.908997768897938	0.5788104975078188	1.338852111938267	1.3214313086915974	0.9632056180404908	1.7651851930045008	2.3289629441435395	0.02676815686366299	1.3063633991540315	1.1079740191829728	2.284158349076029	1.5329960206092363	-0.1043698102659287	1.0942923640202513	1.814475496257478	-1.0692188311684248	1.6568255242059868
TGFB1	5.863830707312941	6.118576982332976	6.338608900566701	6.52702515854728	5.970690658517278	6.260593227945243	6.001728662037267	6.334868199393091	6.558589873745526	5.939715040398453	5.683296210906608	5.554586659746336	5.141150213102239	5.556370215565834	5.66606476178754	6.223623287260863	6.518876810849023	6.453212836720718	5.854398604815435	5.964017312948411	5.718694523459917	6.280558241841428	6.444825256682179	6.470836611110816	5.569529148827004	5.943334717397814	6.065595439858946	5.738613201575735	5.740101898843674	5.830548640685419	6.363637838173015	6.256735221875737	6.021990454521713	6.041165106246629	5.780610754983128	6.231984655206374	6.837546692838823	6.170010941092842	6.112804979722507	5.902962865358274	5.64160925537875	6.068862576006214	6.589592761384616	6.164725416411635	6.121613168015975	6.164395519964059	6.138289788037104
IDO1	6.6281781926888	4.29881143293707	2.392205059134355	4.880928088666817	6.30791678539136	5.7960951537654815	3.6318469316606183	5.8462350866032935	6.02219108271494	5.984755437414426	3.9783622967327794	3.206154383835921	2.599739104319605	3.2608860758518237	1.6364858487375376	4.0510513007442235	6.818158426673609	7.466394325904265	4.826807972134189	3.3225315458127245	3.3351506704942047	7.452842095392176	8.65033879305459	4.162995259197125	1.080760697099164	5.599992138686817	5.436256513309468	3.976958139939171	3.668486411799842	2.6508212748526656	6.238992251757287	4.650275753796498	4.723740951496149	2.7045887943615554	1.8151431541979068	5.602526644704378	7.887713692738849	6.192802504631059	4.506082598789774	3.2302688619819975	5.479560512835381	4.630619331409555	7.92935110333401	7.1408360715565085	3.075017737730139	1.1630173715437895	3.6497261375871215
PDCD1LG2	3.150622432782118	2.793253220465054	2.592466138228639	2.4110608129499997	3.662148017082755	3.2197541075669402	1.676793859359183	1.7090745267201317	2.9406407647313184	3.89697033632072	2.827243024180035	1.13732827860653	0.25370028238329567	0.9968752204350135	0.6548814123453806	2.1081462721579936	2.5475140957387072	4.688921754156395	2.3513326579791585	2.760524128111678	1.0561084274199803	3.926184460118499	3.2371643216859525	2.3959763916497785	-0.7880118546448713	3.659997253279455	2.7220344860362964	1.1834494955577561	0.0974874790786	2.2029291739644883	3.3310992021150074	1.3240395793522772	2.9753428411722265	1.4407503978863208	2.2557727845599	3.203005615675872	5.303360639993009	3.505266039521228	2.489712516956301	1.4423081306723073	5.424989512746681	1.659812615012882	4.34136931019674	4.099281868048781	1.9790137645454084	-0.23819540924128724	0.6240996143400643
IL10	3.6445320757258948	2.127618353391366	4.567990792577559	3.3004756270976774	3.9854690718819263	4.472946282277508	1.5236207883871842	2.95636942321622	3.291276988889571	3.618951131245801	1.938331035705275	0.9018051087947541	-1.092625060804199	0.29274218234779426	1.0379757033767767	2.6065389939053247	5.132563556107236	6.803326913644703	2.071708900250833	2.485700745970057	-0.7414502284369107	2.9897044896450105	3.2165042458651207	2.5240709516682216	-1.4499321904347866	2.487417379501135	2.302831292782148	0.7079783427570625	-1.314787776510169	2.1904331141901388	3.6273468898094627	2.250436948725902	3.359598660100403	1.4765033658923095	3.659147331153095	2.182377955369976	4.486013011454977	3.5233825227033844	0.8231437656848897	1.8971758229030478	3.895740779549378	0.5861980378952296	4.495071222219977	3.8696235631512756	2.375561397645466	1.202250972100483	0.01803951862465425
ARG1	-9.798750984866235	-6.966034908416443	-3.9360384600886036	-6.023179845084453	-5.160195871084348	-6.953710349956953	-5.525704397839906	-2.3015027775917645	-3.183029665741664	-7.721210336142057	-8.619775976472994	-9.077066399016022	-9.40129159643191	-7.623640068702368	-8.218927636854065	-3.897276214510633	-5.6797235008711375	-4.660160953083231	-7.691111423307806	-9.037843976014532	-8.123119162142643	-7.870280225729871	-11.184113550477637	-6.557970619503774	-7.6072612777101405	-7.023494270314302	-7.484200186044394	-10.572032831851995	-8.720094773739618	-7.475666705841778	-6.28967590994392	-6.897699743787182	-6.632476543519246	-7.209424573206373	-7.5316013683473635	-4.594561349294398	-0.7683767161851982	-5.998035620199726	-2.447555271692771	-9.534856560288997	-8.1801813988642	-5.115821606863346	-2.780131168450918	-5.9904974387090455	-7.661077656690381	-10.415257118550958	-6.7537610099739
CCL2	5.609142291758484	4.641575487303967	4.70851318219839	5.7074935055181335	5.758223857219416	7.029222376332816	5.46143100398039	7.95018732257369	5.264016080266966	5.848101067297147	4.33463474638174	5.466287826429895	4.1539085887479175	5.093630263350962	4.836045740002685	6.114107939155003	7.140312188244071	7.508070034205943	5.26673872570052	5.39493464859247	4.09024904570045	6.39352262938602	5.412316197737685	5.878712290371668	4.683049191185921	5.292659976228341	6.01607766695866	4.47030619386911	5.65428678665457	5.690437736745704	6.057608469438783	5.8614967665939375	5.668134111734654	5.739875322135584	4.704513066430582	5.959343362212081	7.265770907530696	7.2472848857889325	5.267817356255062	4.890743440032953	5.474780223217488	5.714628878172325	7.498329812097124	7.048068460043293	5.695804232836144	5.660227867927402	4.677378247454188
