Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-05-4244-01	0.174039295611959	0	0.0755675372987613	0	0.032085255770034	0.214649872995053	0.0338318934337726	0	0.0543288199852498	0	0	0.0834630983727245	0	0	0.0269477428277477	0.101708037176535	0	0.0502358788462828	0.0222397887432152	0	0.130902778938666	0	9999	-0.00410830135054878	1.092270086164
TCGA-05-4250-01	0.124251664542232	0	0.0284931204136583	0	0.127236447830713	0.0343510933666863	0.149359835899325	0.0388088811426523	0	0.0693185470415942	0	0.0167861331629818	0.0512214639882615	0	0	0.117269412585662	0	0.0380267909906223	0	0.131577103088617	0.0732995059469945	0	9999	0.0188002968763465	1.06897690467714
TCGA-05-4382-01	0	0.0587004611681492	0	0	0.0765284857347314	0.0749505833314649	0	0.0099913680231807	0.0188906489370863	0.134562238479306	0	0.0421700863309724	0	0	0	0.0151793237824748	0	0.020644282872317	0	0.525510927760674	0.0228715935796426	0	9999	0.0100586718847827	1.21272453474408
TCGA-05-4384-01	0.219930735038028	0	0.000745422042659253	0	0.0503514513339941	0.0825835792354653	0.0396254500110683	0	6.11070901093082e-05	0	0	0.0651254456814627	0	0	0	0.17963517786755	0	0.18809018563499	0	0.0244705598051781	0.149380886259496	0	9999	-0.00786674940158702	1.08936852472533
TCGA-05-4389-01	0	0.0893465390154877	0.00299050177993498	0	0.17701295551354	0.0353545356878652	0.0139189658693722	0	0.00175633331182939	0.0912218923810718	0.0307075911930415	0	0	0.0771089332519163	0	0.163943253236761	0	0.0244053694015772	0	0.227723256691114	0.0605622030584362	0.00394766960805232	9999	0.0193846512090726	1.08613023178056
TCGA-05-4390-01	0.144602332009076	0	0	0	0	0.0518096147170342	0	0.0678704004516126	0	0	0	0.0848371081308466	0	0	0	0.0119606211621365	0	0.121037369154326	0	0.444009205360614	0.0738733490143542	0	9999	-0.00625488557075398	1.18643868883514
TCGA-05-4395-01	0.316294596903473	0	0.0271961187807672	0	0.0547704533643191	0.164790934581838	0.111951586160785	0	0.012893959117805	0.0282218506947605	0	0.0237759104420537	0	0	0	0.131584140341438	0	0.0683491546561943	0	0.0601712949565666	0	0	9999	-0.0106039736265034	1.10811906318417
TCGA-05-4396-01	0.0257615038621791	0	0.0190690807929529	0	0.1707716178665	0.264579250169479	0.0390355664500137	0.0002710021385152	0	0.211685171501184	0	0	0	0	0.0116449273794907	0.0648863861549353	0	0.0256762248207834	0	0.166619268863967	0	0	9999	0.0427264749586706	1.10317156773042
TCGA-05-4397-01	0.00600692833133697	0.0259019080421473	0.0419832292561689	0	0.319859584338146	0	0	0	0	0.285273765688011	0	0	0	0	0	0.119785933374479	0	0.0244289807823005	0	0.130635453551446	0.0401143907782525	0.00600982585771191	9999	0.0423946425872786	1.09072403927179
TCGA-05-4398-01	0	0.0593936359050372	0.0114190089126496	0	0.181378024940342	0	0	0.00119628000247713	0.0396567665506407	0.0849353634920457	0	0.0615999557324671	0.0376132982782142	0	0	0.0110309595024288	0	0.0322805576894131	0	0.479496148994284	0	0	9999	0.0121121110269584	1.18644794450088
TCGA-05-4402-01	0	0.0831835556130906	0	0	0.22761300407507	0	0	0	0.0133323244705489	0.102870353198702	0	0.071834893532675	0.0283223200798568	0	0	0	0	0.0302287866489308	0	0.442614762381126	0	0	9999	0.0144355717895318	1.17538358259976
